"","Var1","Freq"
"1","4930480K23Rik",1
"2","9130011E15Rik",1
"3","A1cf",1
"4","A530084C06Rik",1
"5","Aacs",1
"6","Aagab",1
"7","Aak1",1
"8","Aars",1
"9","Abat",1
"10","Abca1",2
"11","Abca3",1
"12","Abcb1a",1
"13","Abcb7",1
"14","Abcc1",1
"15","Abcc3",1
"16","Abcg1",3
"17","Abhd12",1
"18","Abhd13",1
"19","Abhd17a",1
"20","Abhd17b",1
"21","Abhd17c",4
"22","Abhd2",4
"23","Abl1",2
"24","Ablim1",3
"25","Abr",2
"26","Abracl",1
"27","Abtb2",1
"28","AC102225.2",1
"29","AC124550.3",1
"30","AC124566.2",1
"31","AC124713.2",1
"32","AC126938.1",1
"33","AC128663.3",1
"34","AC129188.1",2
"35","AC130827.2",4
"36","AC131992.1",2
"37","AC159257.5",1
"38","AC162528.2",2
"39","AC165086.3",1
"40","Acaa1a",1
"41","Acadl",2
"42","Acap2",2
"43","Acat1",1
"44","Acat2",4
"45","Acbd4",1
"46","Acly",2
"47","Aco2",1
"48","Acox1",3
"49","Acox3",2
"50","Acsf2",1
"51","Acsl1",1
"52","Acsl3",3
"53","Acsl4",1
"54","Actb",2
"55","Actn1",1
"56","Actn4",5
"57","Actr1a",1
"58","Actr2",3
"59","Actr3",4
"60","Acvr1",1
"61","Acvr1b",4
"62","Adam10",1
"63","Adam17",3
"64","Adam19",1
"65","Adamdec1",5
"66","Adamts1",1
"67","Adap1",1
"68","Adcy6",5
"69","Add1",1
"70","Adgrg1",2
"71","Adgrl2",2
"72","Adh1",1
"73","Adh5",1
"74","Adi1",1
"75","Adipor1",4
"76","Adipor2",2
"77","Adk",1
"78","Adnp",2
"79","Adprh",1
"80","Adra2a",1
"81","Adss",1
"82","Aebp2",1
"83","Aff1",3
"84","Aff3",1
"85","Aff4",1
"86","Afg3l1",1
"87","Afg3l2",1
"88","Aftph",1
"89","Agap1",2
"90","Agfg1",3
"91","Ago1",2
"92","Ago2",8
"93","Ago3",1
"94","Agpat3",1
"95","Agpat4",1
"96","Agpat5",2
"97","Agps",1
"98","Agrn",1
"99","Ahcyl1",2
"100","Ahcyl2",1
"101","Ahnak",19
"102","AI846148",1
"103","Aim1",1
"104","Aim2",1
"105","Airn",1
"106","Ak2",1
"107","Ak3",2
"108","Ak4",2
"109","Akap11",1
"110","Akap13",10
"111","Akap7",1
"112","Akap9",2
"113","Akt1",1
"114","Akt2",2
"115","Alas1",2
"116","Alcam",2
"117","Aldh1a3",1
