"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04072","mmu04072","Phospholipase D signaling pathway","15/195","149/8912",8.22169598788143e-07,0.000130764332669901,8.93404775341532e-05,"18750/18708/20662/18803/52123/18783/13139/13649/18720/67916/14745/16653/11652/11848/14388",15
"mmu05231","mmu05231","Choline metabolism in cancer","12/195","98/8912",1.3446685045534e-06,0.000130764332669901,8.93404775341532e-05,"72508/18750/18708/20662/18803/18783/13139/13649/18720/67916/16653/11652",12
"mmu04150","mmu04150","mTOR signaling pathway","15/195","156/8912",1.48035093588568e-06,0.000130764332669901,8.93404775341532e-05,"26987/72508/18750/18708/20662/12283/78757/22241/21937/16653/11652/11966/11848/20111/110651",15
"mmu04071","mmu04071","Sphingolipid signaling pathway","13/195","124/8912",2.88619372268115e-06,0.000191210334127626,0.000130638242184515,"18750/18708/14679/18201/19052/20773/241447/76893/21937/16653/11652/11848/19877",13
"mmu04666","mmu04666","Fc gamma R-mediated phagocytosis","11/195","92/8912",4.75501729920831e-06,0.00025201591685804,0.000172181679045017,"72508/18750/12632/18708/18803/18783/18753/18720/67916/11652/13196",11
"mmu01521","mmu01521","EGFR tyrosine kinase inhibitor resistance","10/195","79/8912",7.74947379966519e-06,0.000342268426151879,0.000233843770796915,"26987/72508/18750/18708/20662/18803/13649/16653/11652/14388",10
"mmu04722","mmu04722","Neurotrophin signaling pathway","12/195","121/8912",1.24830690815509e-05,0.000472573329515857,0.000322870358199513,"215449/18708/20662/18803/192662/18753/16653/11652/11848/20111/14388/110651",12
"mmu04012","mmu04012","ErbB signaling pathway","9/195","84/8912",8.53412038087865e-05,0.0027251194176766,0.0018618492148575,"72508/18750/18708/20662/18803/13649/16653/11652/14388",9
"mmu04810","mmu04810","Regulation of actin cytoskeleton","15/195","220/8912",9.25512255059976e-05,0.0027251194176766,0.0018618492148575,"17898/12632/18708/16398/20662/20430/17698/18711/13649/16403/18720/14745/16653/11848/19877",15
"mmu05211","mmu05211","Renal cell carcinoma","8/195","68/8912",0.000109302108202383,0.00289650586736315,0.00197894343271683,"215449/18708/20662/12914/16653/11652/14194/14388",8
"mmu04510","mmu04510","Focal adhesion","14/195","201/8912",0.000126975198842632,0.00305894797211795,0.0020899267177926,"215449/17898/18750/18708/16398/20662/70549/13649/16403/18720/11652/11848/19877/21894",14
"mmu05205","mmu05205","Proteoglycans in cancer","14/195","205/8912",0.000156417001980551,0.00306107524015304,0.00209138010449383,"72508/18750/18708/16398/20662/18803/17698/11735/13649/16653/11652/11848/19877/14388",14
"mmu04960","mmu04960","Aldosterone-regulated sodium reabsorption","6/195","38/8912",0.000156483254716862,0.00306107524015304,0.00209138010449383,"11931/18750/18708/11928/16653/110784",6
"mmu04014","mmu04014","Ras signaling pathway","15/195","232/8912",0.0001673537139166,0.00306107524015304,0.00209138010449383,"215449/18750/18708/20662/18803/13836/18784/114713/18783/13649/13636/16653/11652/11848/14388",15
"mmu04914","mmu04914","Progesterone-mediated oocyte maturation","9/195","92/8912",0.000173268409819983,0.00306107524015304,0.00209138010449383,"67579/18708/14679/12442/16653/11652/12530/20111/110651",9
"mmu04010","mmu04010","MAPK signaling pathway","17/195","294/8912",0.000237756539319716,0.00331920454478101,0.00226773855691096,"215449/18750/20662/13836/114713/26921/18783/13649/11909/14013/13636/330177/21937/16653/11652/20111/110651",17
"mmu04070","mmu04070","Phosphatidylinositol signaling system","9/195","96/8912",0.000239869852879873,0.00331920454478101,0.00226773855691096,"18750/18708/219135/18803/18711/13139/18720/242291/76500",9
"mmu04140","mmu04140","Autophagy - animal","11/195","140/8912",0.000240702637944916,0.00331920454478101,0.00226773855691096,"72508/18708/54673/19052/75909/18753/56790/22241/16653/11652/16784",11
"mmu04015","mmu04015","Rap1 signaling pathway","14/195","214/8912",0.000245008540676203,0.00331920454478101,0.00226773855691096,"215449/18750/18708/18803/14679/13836/70549/13649/13636/14745/16653/11652/11848/21894",14
"mmu04670","mmu04670","Leukocyte transendothelial migration","10/195","118/8912",0.000250506003379699,0.00331920454478101,0.00226773855691096,"215449/17898/18750/18708/18803/14679/17698/18260/11848/19877",10
"mmu04611","mmu04611","Platelet activation","10/195","124/8912",0.000374513820926634,0.00472600774026467,0.00322889108768827,"215449/18708/16398/14679/70549/18783/11652/11848/19877/21894",10
"mmu04664","mmu04664","Fc epsilon RI signaling pathway","7/195","66/8912",0.000563501044609888,0.00678762621916455,0.00463742486473209,"18750/18708/20662/18803/18783/16653/11652",7
