"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05222","mmu05222","Small cell lung cancer","11/186","93/8912",3.34977661671455e-06,0.000840793930795351,0.00064879883944787,"19645/12018/19211/12826/22032/16400/12827/16412/27401/16403/74769",11
"mmu04926","mmu04926","Relaxin signaling pathway","12/186","129/8912",1.49104501525263e-05,0.00152606820834212,0.00117759090096435,"12825/12842/22339/14701/12826/13649/216869/11512/12843/12827/14678/74769",12
"mmu04510","mmu04510","Focal adhesion","15/186","201/8912",1.87684064158928e-05,0.00152606820834212,0.00117759090096435,"12835/12842/11855/22339/19211/12826/13649/16400/19046/12843/12827/16412/12387/16403/74769",15
"mmu05213","mmu05213","Endometrial cancer","8/186","58/8912",2.43198120851333e-05,0.00152606820834212,0.00117759090096435,"56484/12018/19211/13649/21416/12387/12385/74769",8
"mmu04151","mmu04151","PI3K-Akt signaling pathway","20/186","359/8912",5.68914530178314e-05,0.00285595094149514,0.00220379523269073,"12835/20393/56484/12842/74370/67168/22339/19211/17210/14701/12826/13649/16400/13836/12843/12827/16412/16403/14924/74769",20
"mmu04974","mmu04974","Protein digestion and absorption","10/186","108/8912",8.11299619952033e-05,0.003393936743466,0.00261893210651182,"12825/12832/12835/12842/12831/13717/12826/11931/12843/12827",10
"mmu04512","mmu04512","ECM-receptor interaction","8/186","88/8912",0.000478789144043332,0.0171080105685224,0.013201400480638,"12835/12842/12826/16400/12843/12827/16412/16403",8
"mmu05165","mmu05165","Human papillomavirus infection","18/186","362/8912",0.000545275237243743,0.0171080105685224,0.013201400480638,"12835/12842/19645/12018/22339/19211/12826/14367/13649/16400/21416/12843/12827/16412/12387/16403/14924/74769",18
"mmu05100","mmu05100","Bacterial invasion of epithelial cells","7/186","76/8912",0.000999798533453144,0.0246603145096781,0.0190291376379986,"52398/67300/16412/12387/18000/12385/74769",7
"mmu05225","mmu05225","Hepatocellular carcinoma","11/186","174/8912",0.00102086662247674,0.0246603145096781,0.0190291376379986,"66923/19645/239985/12018/19211/20588/14367/13649/21416/12387/74769",11
"mmu05412","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","7/186","77/8912",0.00108073091476677,0.0246603145096781,0.0190291376379986,"53313/16400/21416/16412/12387/12385/16403",7
