peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p
peak96,Pcmtd1,ENSMUSG00000051285,P59913,319263,0.247408570974861,0.646552066083987,-0.15139190672839,0.290324959792018,0.219663846925338,0.0858113676615442
peak156,Sulf1,ENSMUSG00000016918,Q8K007,240725,0.95806985152272,0.243198441429449,0.146089924577304,0.593990332413924,0.328785498794132,0.186670147801027
peak207,Rdh10,ENSMUSG00000025921,Q8VCH7,98711,0.717729838101111,0.108615079497733,0.479017215004384,0.01017971844506,0.678522537510866,0.0013076920629394
peak213,Rdh10,ENSMUSG00000025921,Q8VCH7,98711,-0.668141563909661,0.350645720047714,0.479017215004384,0.01017971844506,0.678522537510866,0.0013076920629394
peak220,Rdh10,ENSMUSG00000025921,Q8VCH7,98711,0.176688290493524,0.717922435345024,0.479017215004384,0.01017971844506,0.678522537510866,0.0013076920629394
peak296,Rab23,ENSMUSG00000004768,P35288,19335,0.865590008918942,0.07016764922539,0.162106169662141,0.411444452605242,-0.13402724146791,0.0758723872324517
peak355,Imp4,ENSMUSG00000026127,Q8VHZ7,27993,0.883033521461581,0.048715975742613,0.0276142665492152,0.778942120148488,-0.0512316408022997,0.628104686621301
peak367,Imp4,ENSMUSG00000026127,Q8VHZ7,27993,0.627977776006822,0.289099858470352,0.0276142665492152,0.778942120148488,-0.0512316408022997,0.628104686621301
peak455,Hs6st1,ENSMUSG00000045216,Q9QYK5,50785,0.191182557191745,0.788203173476005,-0.0497822600962428,0.68357145069736,-0.0975007217565237,0.389575700647157
peak472,Cnnm4,ENSMUSG00000037408,Q69ZF7,94220,0.457338541475975,0.388500949210531,0.355310692140194,0.0224203269263933,-0.128864144646582,0.245534488074098
peak475,Cnnm4,ENSMUSG00000037408,Q69ZF7,94220,0.264218821787067,0.701388223481919,0.355310692140194,0.0224203269263933,-0.128864144646582,0.245534488074098
peak527,Cox5b,ENSMUSG00000061518,P19536,12859,0.374752596099307,0.456208910370979,-0.123821886733464,0.320345392181766,-0.242909080655109,0.0182829169745197
