"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"peak288",74.0748794530137,1.77973794734747,0.680638202641994,2.61480760327464,NA,NA
"peak540",9.83056435521416,-3.77247986052274,0.770760430808893,-4.89449082974281,9.8560572197096e-07,0.000671910096787688
"peak1682",28.6237780672421,-0.578508489462916,1.25460167565205,-0.461109291251542,NA,NA
"peak2395",27.0308739247207,-3.21006323312104,1.72887891016773,-1.85673109564949,0.06334942114628,0.160813318835155
"peak3462",2.51404927096157,-0.198892271839188,0.694091493422995,-0.286550510593823,0.774456512667827,0.822421178817152
"peak3700",4.6226370871706,-0.664349102729235,0.608548187430832,-1.09169514666371,0.274967119147924,0.387724518998545
"peak3828",29.3873629209136,-0.548944407451297,0.625029899354783,-0.87826903643805,0.379797734961666,0.487259884776401
"peak4622",1.71493525006675,-0.712643103678171,0.836421415938531,-0.852014415339341,0.394206091239733,0.4993495794689
"peak4727",10.4573354767077,-3.68621902655809,1.14428036867822,-3.22142992876484,0.00127552648526032,0.0276654790093641
"peak6271",111.807928130029,1.02986008595973,0.587292190929269,1.75357360759419,0.079503596640957,0.18218614049106
"peak6429",7.68363829795391,-0.110243263153821,1.09779571318152,-0.100422384447398,0.92000899937297,0.937620952105277
"peak7139",6.26906312051958,-3.12424591966778,0.742962717362085,-4.20511803171029,2.60945940996909e-05,0.0041387113516864
"peak7242",13.6215273781561,-1.01460139227373,0.48526004465975,-2.0908405780351,0.0365423572584129,0.122521274139704
"peak7324",6.90684164451029,0.525199796209796,0.591544379618194,0.887845129301677,0.374624063592692,0.482247716626845
"peak7623",0,NA,NA,NA,NA,NA
"peak7627",0,NA,NA,NA,NA,NA
"peak7896",15.6292272561964,0.0685495124903719,0.523128055408499,0.131037729255112,0.895745461087379,0.91941623233898
"peak7912",12.7341231183059,0.688146453706881,0.610068413970869,1.12798243270425,0.259327338298395,0.373807245436699
"peak7948",26.1988540051841,0.276745494482736,0.508754610154022,0.543966558649864,0.586464485471045,0.667070562111967
"peak7961",16.2471700837968,0.609830769889634,0.653239951220568,0.93354787739203,0.350537162663274,0.459160257975827
"peak7968",10.9164180175932,1.05019996198133,0.54801974047856,1.91635425589639,0.0553200192014698,0.149769312297578
"peak7979",96.4456541015271,0.960961056086381,0.788305968247391,1.21902039917679,0.222836450096609,0.339834514139721
"peak8003",9.99632609353744,0.443761968732998,0.468625893123017,0.946942913836193,0.343667868890049,0.452811264427128
"peak8009",18.6048655476313,0.03211099800063,0.413209577695557,0.0777111657956017,0.938057811948185,0.952064274411616
"peak8014",19.4199780761387,0.120212667005975,0.525354507735752,0.228821995882523,0.819007270068448,0.860382623737837
"peak8015",10.4074152020435,0.187555520805951,0.555645663274097,0.337545189682207,0.735705952380963,0.790087376989176
"peak8022",9.46544022909591,0.916984929485189,0.523255747737586,1.75246030922733,0.0796946890094783,0.18218614049106
"peak8061",15.9189846074926,1.07702854119156,0.459127178639833,2.34581743642854,0.0189854042051472,0.089917654260784
"peak8065",26.581909725715,-2.48290851580253,0.826119578199565,-3.00550741239392,0.00265138133644111,0.0389988535692286
"peak8079",22.7753927409955,0.452447823628157,0.619862045509318,0.729916966050725,0.465440941041739,0.56441571904281
"peak8086",9.52730899380161,1.37130912827664,0.543841990435474,2.52152123667132,0.0116848622034376,0.070266078953215
"peak8087",31.9525422611596,1.18303092037739,0.500810552420079,2.3622324143543,0.018165249945653,0.087761291450271
"peak8093",16.3012053695916,0.685967835835132,0.483810266953595,1.41784472693079,0.156236102613299,0.26922260054211
"peak8113",13.6412539429145,0.552061563525355,0.474121219125655,1.16438906603554,0.244266376607124,0.359690507758228
"peak8120",14.7217857214462,1.25852713881935,0.594683195339969,2.11629847401333,0.0343194304577509,0.11935761721099
"peak8132",13.9792925106403,1.22986768951591,0.5289048855909,2.32530975421391,0.0200554030976426,0.0921243408332238
"peak8145",9.0827839606695,1.34899218171025,0.511374576098653,2.6379727205093,0.00834032908256764,0.0604713574338928
"peak8156",19.0934121198028,0.548246922889918,0.52778983381463,1.03875991495977,0.298916408272886,0.409731835826699
"peak8167",17.3991557102698,0.758918368388126,0.529504617825939,1.43326109506679,0.151783235745775,0.264418129200718
"peak8170",12.214226081712,1.0122706687648,0.553735715202902,1.82807545363744,0.0675382283063347,0.166613263803022
"peak8171",51.2707345448624,0.835713429735472,0.440889378447219,1.89551726711765,0.0580239063492369,0.153341333411524
"peak8210",109.717731891329,0.592247274856907,0.580695174305854,1.01989357077896,0.307778939023106,0.4174454058049
"peak8220",17.4000046692509,1.17547448526968,0.539584262340054,2.17848178182943,0.0293701871181753,0.110729379474924
"peak8252",26.5315781833762,1.65852400396735,0.547100678646143,3.03147860841909,0.00243359163565016,0.0374964267040297
"peak8300",13.6709663312936,1.33666909013247,0.623871234626497,2.14254002419701,0.0321500515197326,0.115621939459341
"peak8309",11.9053186285872,0.53005222579869,0.466799095050783,1.13550397037729,0.256164219295309,0.370967890716224
"peak8371",14.2183116320387,1.96359825215368,0.718968225565186,2.73113356380956,0.00631168865423727,0.0540408250156243
"peak8404",7.58021708841374,1.08346502409344,0.528087590781985,2.05167673508302,0.04020108919782,0.128538803890384
"peak8410",77.2678082558004,1.25550186286231,0.428505041100776,2.92995820921285,0.00339007592833111,0.0421736805884273
"peak8486",11.2416942273698,0.838209153474756,0.588485881158274,1.42434879121479,0.154345530098652,0.26711355322597
"peak8490",14.3729827895601,1.08743393705402,1.04194781379913,1.04365489581387,0.296645084854128,0.407498922951006
"peak8491",18.5470963617133,0.602580800162671,0.706324975822668,0.853121184707982,0.393592104532459,0.499028865311171
"peak8603",17.7330135967174,0.86257243149823,0.551633590336132,1.56366915758816,0.11789528444788,0.226420356501197
"peak8620",22.9606008799403,0.308757588149741,0.648282180863447,0.476270360753255,0.63388177829192,0.706447369072814
"peak8630",21.2313048095717,0.181312062078568,0.528253101275285,0.34322952698404,0.731425793070475,0.787045167865091
"peak8649",53.7010865369011,0.907224000225143,0.656029911295067,1.38290035957994,0.166695420055812,0.280143980769293
"peak8652",16.440576121509,0.376485417420696,0.525789611051173,0.716038144359711,0.473967796109813,0.571759597830388
"peak8663",8.13331606931653,1.8543472343154,0.638945137333772,2.90220102785871,0.00370550669263814,0.0434000345400833
"peak8680",15.4774074489731,0.945849191980047,0.497846731514226,1.89988028866474,0.0574488313323247,0.152686459158947
"peak8683",21.0507365624556,1.27012390425295,0.61783239495056,2.05577421098903,0.0398042849147001,0.128005219871546
"peak8696",304.173183701364,1.33999708702131,0.544719220468474,2.45997761171136,0.0138945683089369,0.0761550385427911
"peak8708",29.0568838930643,0.755318216113735,0.433927733954662,1.74065439244926,0.0817441771881677,0.185324127734819
"peak8722",287.550318516642,1.29895720227687,0.508222009720267,2.55588537574717,0.0105918002985189,0.0670285749564626
"peak8802",17.3420172137921,1.13436322681206,0.59518279261808,1.90590729584476,0.0566622343160379,0.151410877447524
"peak8873",11.6880230192322,1.04069549992227,0.471662012336719,2.20644332742938,0.02735297418227,0.106526005410247
"peak8875",19.6801238864581,0.932048529660958,0.444260343673275,2.09797823040991,0.0359070684816273,0.121655690877214
"peak8895",7.74272342548661,1.81925804033391,0.585386378508535,3.10779018290291,0.00188491836367249,0.0325855135978658
"peak8905",57.5573796419622,0.0985300235907532,0.548466921462327,0.179646246172972,0.857430296063335,0.88956348377353
"peak8913",56.1800650440686,0.773877494180193,0.482394645835167,1.60424146673598,0.108660837687066,0.216780649190681
"peak8933",10.0674191173837,0.963347720812799,0.47474507458174,2.029189500621,0.0424389925696795,0.132115058942902
"peak8946",15.4927135872372,0.380031565205929,0.41832382806142,0.908462630414951,0.363633848817768,0.472091488923886
"peak8952",8.61229287073029,1.12281133877151,0.757735560578727,1.48179839667806,0.138393945853445,0.249784995206799
"peak8996",74.1441524231357,1.6190307171306,0.511417312013187,3.16577221595668,0.00154671862545989,0.0307237930467316
"peak9002",45.8791225324613,0.964688703232067,0.455602899833067,2.11738929577825,0.0342268219135507,0.119253305464988
"peak9004",80.8525492650258,0.692300128333425,0.593021329932986,1.16741185078732,0.243044087577656,0.358623603195296
"peak9011",14.4376511814073,1.18812746158937,0.57875634078655,2.05289752847401,0.0400825167843564,0.128372319818745
"peak9027",14.8515771131435,0.575884274662816,0.460823722209935,1.24968452557324,0.211414812288295,0.327788496848427
"peak9039",12.1097402208507,1.47757568776686,0.475457841961974,3.10769022479396,0.00188555595053992,0.0325855135978658
"peak9041",164.623787289177,1.2055819442204,0.422077826959584,2.85630248076462,0.00428606591408845,0.0460924652735406
"peak9052",113.340603518724,0.946991770372152,0.577195983721758,1.64067629900325,0.100864627341409,0.207929165434647
"peak9053",23.7032332033108,0.874448289562169,0.602526632039184,1.4513023044354,0.146695699902863,0.259780033347406
"peak9058",15.7062015807326,0.736486060360627,0.425184492960901,1.7321564463273,0.0832457112930218,0.187278250612818
"peak9068",516.505033345131,1.03948493514451,0.442204947868349,2.35068589837212,0.0187388446660192,0.0892738802428661
"peak9101",21.167339815983,0.567778557551201,0.587133723714279,0.967034484000281,0.333526795203496,0.44228174392688
"peak9110",54.3282403234492,0.870077552998174,0.516516722321957,1.68450994013672,0.0920831600634722,0.197024228697641
"peak9111",43.9629261685156,1.23162975299361,0.599579157417946,2.05415704958383,0.039960493906236,0.128254317077645
"peak9128",28.3546531579897,1.11743506408321,0.565041141640929,1.97761717109321,0.0479719106739942,0.139614406132872
"peak9164",32.8615783526972,0.946822641419319,0.550784523019825,1.71904365835864,0.0856064226136634,0.189694753718369
"peak9168",34.2668175816352,0.880500735962555,0.619656752627028,1.42094915004102,0.155331542824971,0.268271790306785
"peak9218",33.8027929054089,0.535518853601106,0.440689330896496,1.21518452128554,0.224295722660005,0.3410352180169
"peak9232",7.29919305311731,1.60960733677049,0.601007653991155,2.6781810948354,0.00740231842944041,0.0572651362023146
"peak9249",23.2058869475173,1.21896258422405,0.533112986123822,2.28649951502199,0.0222250524651887,0.0967533514541286
"peak9253",358.448256984885,0.419884020994783,0.497858422485685,0.843380370866088,0.399015746385071,0.503348281231077
"peak9254",21.0282887147829,0.741497343591659,0.530578536612562,1.39752608223787,0.162255428987071,0.275149006311859
"peak9257",84.222273150945,-0.396803070557078,0.650475366460954,-0.610020134530178,0.541848469943972,0.629346526125597
"peak9285",39.7927393549664,0.388915479298352,0.593192344654651,0.65563131891861,0.51206136926339,0.605141757870566
"peak9289",19.2785436084354,0.483693853719747,0.468642786969155,1.03211628807504,0.302017644394495,0.412423377000052
"peak9290",30.500594598287,-0.49707146953148,0.427264745715142,-1.16338049070606,0.244675161393516,0.360013916445465
"peak9298",31.4371087749348,0.771276495433723,0.597829350018379,1.29012818693162,0.197006154700549,0.312525079336379
"peak9299",17.143052291638,0.429146304771618,0.495303642002467,0.866430747483744,0.38625398842112,0.493215634661185
"peak9346",16.1877169114808,1.09705341256388,0.526521620445427,2.0835866372131,0.0371977835470026,0.123662325826782
"peak9348",22.8481586969983,0.841229770346571,0.541011530684919,1.55492022375489,0.119965070181663,0.228323519823251
"peak9354",12.7842629560013,0.625898678613055,0.452059801496748,1.38454840828743,0.166190596269152,0.279542423640534
"peak9403",13.0924472890532,0.62202910842331,0.533801004740431,1.1652827606156,0.243904554964491,0.359227196158767
"peak9409",10.2294721017891,1.20758374722738,0.618457519977459,1.95257347225949,0.0508701570777604,0.143381897753791
"peak9410",15.8464715239348,0.970311663067209,0.60337208060202,1.60814809677483,0.107802747495596,0.215572013777304
"peak9411",20.3573430630671,0.693108606903086,0.537536562331,1.28941667502106,0.19725326736326,0.312656490617635
"peak9412",35.8034260186546,0.801664286600746,0.572808516029131,1.3995327656057,0.161653279877242,0.274457274688993
"peak9413",25.8694128392052,1.10508028845975,0.640618774945031,1.72502013940284,0.0845238431534036,0.188759172169804
"peak9414",38.2946081336284,1.05299091558901,0.549779799213776,1.91529575494564,0.0554547966697301,0.149974197885135
"peak9415",391.119526218022,0.717205652793215,0.489739711286021,1.46446293054301,0.14306750443902,0.255195152599405
"peak9416",20.7148990460302,0.30875413275166,0.65052565407344,0.474622531514805,0.635056043628863,0.707155934987185
"peak9417",8.78906233162121,0.501720128325108,0.504518162180449,0.994454047316655,0.320001866639215,0.429433141322817
"peak9418",57.0977035179553,0.901335503958876,0.599186823387992,1.50426456119719,0.132513260126794,0.242972892424202
"peak9425",80.7021840181749,0.948976967195427,0.691616752826562,1.37211391036591,0.170027979760599,0.283740247680281
"peak9432",9.01328670050481,0.782770599753811,0.548691446420266,1.4266134543571,0.153691343940794,0.26634468504923
"peak9449",2.73646983530258,1.43182032557108,0.748885436173276,1.91193506564573,0.0558845233208502,0.150529467089433
"peak9454",28.501549041575,1.54036043020876,0.503753476309922,3.05776635328088,0.00222993368960907,0.0357399687978819
"peak9501",19.5278649184584,1.20382872955584,0.484552240107609,2.48441474398818,0.0129764576471161,0.0739888103965096
"peak9507",70.1402484493285,1.04527000624886,0.632125940508281,1.65357872421495,0.0982131385131079,0.204568159644402
"peak9508",37.3681827502776,1.29317626204193,0.544895484090517,2.37325560552289,0.0176320573293519,0.0866577485141098
"peak9552",23.9319797907576,1.36171159045797,0.633930545426782,2.14804539753045,0.0317101492214205,0.115176224247459
"peak9576",11.8830377093118,1.38594728632131,0.544523551078688,2.54524764553485,0.0109200262530241,0.0679200652485884
"peak9583",11.2980596955874,0.947288951154439,0.48552545046553,1.95105931161005,0.0510499906526909,0.143539106927932
"peak9590",7.83312768535304,1.96078130493133,0.631842443007611,3.10327570841534,0.00191391247107186,0.0327973185451218
"peak9604",30.8529044712751,0.269818040938498,0.542624308440164,0.497246505071107,0.619015230428859,0.694658453604791
"peak9665",7.71679599061287,2.11354430295328,0.674203007704059,3.13487818772979,0.00171925485889984,0.0315752824645483
"peak9738",10.4035451184309,1.72321606892761,0.506763290202107,3.4004358686683,0.000672785155474723,0.0215704908401892
"peak9752",13.5137459737437,0.650236119948419,0.452896748056183,1.435727067459,0.151080019977957,0.26374047055542
"peak9754",27.5440449723156,1.03369649410266,0.507105582234851,2.03842460094225,0.0415074880998126,0.130721034136165
"peak9772",45.0693528155024,1.35283086941384,0.67019285863086,2.01856950874939,0.043531982856548,0.133632655438266
"peak9792",16.3606039849892,0.892311408564042,0.606090000767218,1.47224241850964,0.140955426440813,0.252670982221311
"peak9798",23.0971509456835,0.795212711056189,0.525431736059715,1.51344628898817,0.130166334601973,0.240231831593896
"peak9818",28.8330537847951,2.29941864687287,0.51082716693237,4.50136327063689,6.75189933663681e-06,0.00244772426903886
"peak9832",20.2075740289587,1.40794897374031,0.50730090905045,2.77537246360482,0.00551385204958823,0.051568741589085
"peak9856",12.1222353031201,1.31567736414345,0.580785490700115,2.26534130967606,0.0234917428947183,0.0992467473127028
"peak9879",12.1038264428003,3.50062094473068,1.2231958112559,2.86186472559652,0.00421156618988908,0.0455435417665136
"peak9898",17.7218521605228,1.3409218848832,0.461936234151239,2.90282897453802,0.00369808529529547,0.043379851083335
"peak9907",15.5712203356867,1.56865651827619,0.535590530675782,2.92883542264448,0.00340234516535801,0.0421736805884273
"peak9919",12.2541565732785,0.654568348829629,0.515561906010554,1.26962124470117,0.20421957814568,0.319901985272236
"peak9920",11.1573002461777,1.49727738192452,0.635626192397522,2.35559421533108,0.0184931067656825,0.0886574444629352
"peak9921",8.17184144843395,1.54165049092401,0.707716780676441,2.17834384179854,0.0293804474634633,0.110729379474924
"peak9950",41.8396565962213,0.399408324501289,0.466571393940206,0.856049748631774,0.391970262491597,0.497842777502256
"peak9987",14.5221475530043,0.352867899920904,0.50945258348909,0.692641300401729,0.48853468503359,0.58450645248479
"peak10019",10.4753284564629,1.15885646812164,0.562741882411889,2.05930374891385,0.0394651495815301,0.127467894739263
"peak10034",25.0411617619206,1.1055309676321,0.551097683989401,2.00605264683595,0.0448506312992308,0.135119848073227
"peak10038",11.249847454543,0.624876736649654,0.663168860349805,0.942258863481688,0.346060123626147,0.455320534303811
"peak10060",8.50994629842165,1.29689046779448,0.516961441588049,2.50867930074354,0.0121183449090306,0.0716410550807769
"peak10063",38.039886598771,1.57897774746769,0.6303218684793,2.50503405708752,0.0122439603089835,0.0719793589438544
"peak10100",8.63386104170686,1.10325924180986,0.486643299462247,2.26707989821083,0.0233853453188319,0.099064038448897
"peak10116",12.5836416633575,1.06249651643172,0.516332943057398,2.05777402104209,0.0396118309876569,0.127781724283488
"peak10117",14.5694149881761,1.20098067575248,0.556345869682238,2.15869433242746,0.030873888777166,0.113382978900417
"peak10120",41.4337513097157,1.21525958068408,0.534830353384023,2.27223375224459,0.0230723956861711,0.098293311896374
"peak10194",12.511842429001,0.937068368089945,0.488069584950128,1.91994829627766,0.0548644305904766,0.149078470617629
"peak10246",13.9541052909635,1.18355307645055,0.711501368617223,1.66345860830983,0.096220669728994,0.202685062991595
"peak10296",34.8202898876976,1.10393377872569,0.554762353746811,1.98992193913274,0.0465995351821139,0.137782112600216
"peak10310",14.2056413087874,0.842547555899412,0.493647109204276,1.70678109967572,0.0878627466722946,0.192009507565697
"peak10318",12.2396855222093,0.959338619962328,0.495453742969798,1.936282919596,0.0528330595669212,0.146260112266442
"peak10346",28.954482660201,0.767535158900589,0.73646864706818,1.0421830745356,0.297326808611639,0.408140821125209
"peak10366",93.6066157089586,1.60993791301548,0.615370138304959,2.61621065567151,0.00889116849331044,0.0623739814777528
"peak10380",32.9133622630448,0.767292724518545,0.569958177435418,1.34622636343433,0.178229525291765,0.292679330467257
"peak10424",23.5436772060816,0.490526008066266,0.538849018028845,0.910321800085395,0.362652824963885,0.471139241715026
"peak10427",36.3502303939055,-0.0982659863895914,0.565618037565135,-0.17373205920484,0.862076041043004,0.893287722942751
