"","HVA1","HVA2","HVA3","HVA4","HVA5","HVA6","HVAK1","HVAK2","HVAK3","HVAK4","HVAK5","HVAK6"
"peak288",26.4219163217225,7.57670713737621,12.3011465754237,129.369811650118,0,4.82023446330812,40.0422947198027,39.406610999646,60.1857612999593,130.781938533526,305.296148595668,132.695983139613
"peak540",4.89294746698565,1.89417678434405,1.11828605231124,11.8506697694765,9.05973518427201,81.9439858762381,0.482437285780755,0,0,4.27391955991914,1.0314059074178,1.41920837582474
"peak1682",1.4678842400957,1.89417678434405,1.11828605231124,4.44400116355367,271.79205552816,7.23035169496218,3.85949828624604,0.691344052625369,25.4632067038289,12.8217586797574,7.73554430563349,4.9672293153866
"peak2395",0,0,0,0.987555814123039,267.262187936024,48.2023446330812,0,0,0,5.98348738388679,0.515702953708899,1.41920837582474
"peak3462",3.91435797358852,7.57670713737621,2.23657210462248,1.97511162824608,0,0,2.41218642890378,2.76537621050147,4.62967394615071,0.854783911983828,3.09421772225339,0.709604187912371
"peak3700",1.95717898679426,11.3650607060643,5.59143026155621,4.93777907061519,13.589602776408,0,4.3419355720268,5.53075242100295,0,1.70956782396766,3.60992067596229,2.83841675164948
"peak3828",59.693959097225,53.0369499616334,30.1937234124035,54.8093476838286,0,2.41011723165406,36.1827964335566,34.5672026312684,43.9819024884318,2.56435173595148,19.5967122409382,15.6112921340722
"peak4622",1.4678842400957,0,1.11828605231124,2.96266744236912,0,7.23035169496218,0.96487457156151,0.691344052625369,0,0.854783911983828,1.0314059074178,4.25762512747422
"peak4727",1.4678842400957,3.7883535686881,1.11828605231124,38.5146767507985,9.05973518427201,65.0731652546597,0.482437285780755,0,0,5.98348738388679,0,0
"peak6271",45.9937061896651,32.2010053338489,59.2691607724958,190.598272125746,0,60.2529307913515,65.6114708661827,73.2824695782891,55.5560873538086,251.306470123245,180.496033798115,327.127530627603
"peak6429",3.42506322688996,24.6242981964727,13.4194326277349,5.92533488473823,0,0,11.0960575729574,0.691344052625369,25.4632067038289,0.854783911983828,6.70413839821569,0
"peak7139",2.93576848019139,1.89417678434405,6.70971631386745,22.2200058177684,0,33.7416412431569,1.44731185734227,0.691344052625369,2.31483697307536,2.56435173595148,0,0.709604187912371
"peak7242",12.7216634141627,9.47088392172026,6.70971631386745,15.8008930259686,45.29867592136,14.4607033899244,1.92974914312302,4.83940836837758,0,23.0791656235633,14.9553856575581,14.1920837582474
"peak7324",1.95717898679426,15.1534142747524,15.6560047323574,2.96266744236912,0,0,13.0258067160804,17.2836013156342,6.94451091922607,1.70956782396766,4.64132658338009,3.54802093956185
"peak7623",0,0,0,0,0,0,0,0,0,0,0,0
"peak7627",0,0,0,0,0,0,0,0,0,0,0,0
"peak7896",8.80730544057418,30.3068285495048,22.3657210462248,19.7511162824608,9.05973518427201,0,15.9204304307649,10.3701607893805,6.94451091922607,26.4983012714987,24.7537417780272,12.7728753824227
"peak7912",7.33942120047848,11.3650607060643,16.7742907846686,19.7511162824608,0,0,18.8150541454494,13.8268810525074,13.8890218384521,2.56435173595148,37.1306126670407,11.3536670065979
"peak7948",16.6360213877512,51.1427731772894,57.0325886678733,13.8257813977225,0,2.41011723165406,54.0329760074446,63.6036528415339,27.7780436769043,6.83827129587062,11.8611679353047,9.22485444286082
"peak7961",3.42506322688996,22.7301214121286,16.7742907846686,26.664006981322,0,4.82023446330812,44.8666675776102,27.6537621050147,0,19.660029975628,17.0181974723937,11.3536670065979
"peak7968",3.91435797358852,0,0,14.8133372118456,0,26.5112895481947,8.68387114405359,3.45672026312684,11.5741848653768,20.5148138876119,21.6595240557738,19.8689172615464
"peak7979",23.4861478415311,24.6242981964727,36.903439726271,361.939205876094,4.529867592136,4.82023446330812,219.991402316024,87.8006946834218,41.6670655153564,54.706170366965,169.150568816519,127.728753824227
"peak8003",6.36083170708135,11.3650607060643,12.3011465754237,12.8382255835995,0,4.82023446330812,23.639427003257,12.4441929472566,9.25934789230143,8.54783911983828,7.73554430563349,10.6440628186856
"peak8009",13.2109581608613,18.9417678434405,11.1828605231124,13.8257813977225,22.64933796068,31.3315240115028,12.0609321445189,13.8268810525074,13.8890218384521,32.4817886553854,12.8925738427225,26.9649591406701
"peak8014",23.4861478415311,56.8253035303215,26.8388652554698,11.8506697694765,0,0,35.2179218619951,40.0979550522714,11.5741848653768,6.83827129587062,13.9239797501403,6.38643769121134
"peak8015",16.6360213877512,24.6242981964727,6.70971631386745,8.88800232710735,0,0,6.27168471514982,10.3701607893805,30.0928806499796,4.27391955991914,11.3454649815958,5.67683350329897
"peak8022",5.38224221368422,7.57670713737621,10.0645744708012,8.88800232710735,4.529867592136,0,27.9813625752838,9.67881673675516,16.2038588115275,3.41913564793531,11.3454649815958,8.51525025494845
"peak8061",4.89294746698565,9.47088392172026,7.82800236617869,24.688895353076,0,9.64046892661625,18.8150541454494,13.8268810525074,11.5741848653768,37.6104921272884,33.5206919910784,19.159313073634
"peak8065",5.87153696038278,0,0,6.41911279179975,140.425895356216,139.786799435936,0.96487457156151,2.07403215787611,2.31483697307536,11.9669747677736,2.0628118148356,7.09604187912371
"peak8079",10.7644844273684,32.2010053338489,39.1400118308935,27.6515627954451,0,0,43.9017930060487,46.3200515258997,30.0928806499796,5.12870347190297,28.8793654076984,9.22485444286082
"peak8086",3.91435797358852,5.68253035303215,8.94628841848994,5.92533488473823,0,2.41011723165406,3.85949828624604,11.7528488946313,9.25934789230143,31.6270047434016,19.5967122409382,11.3536670065979
"peak8087",12.7216634141627,13.2592374904084,26.8388652554698,39.5022325649215,4.529867592136,9.64046892661625,32.8057354330913,35.9498907365192,16.2038588115275,37.6104921272884,93.3422346213108,61.0259601604639
"peak8093",5.87153696038278,22.7301214121286,31.3120094647148,9.38178023416887,0,4.82023446330812,29.9111117184068,38.7152669470206,20.8335327576782,12.8217586797574,9.28265316676018,9.93445863077319
"peak8113",9.78589493397131,18.9417678434405,13.4194326277349,14.8133372118456,0,7.23035169496218,20.7448032885725,13.8268810525074,2.31483697307536,17.0956782396766,29.9107713151162,15.6112921340722
"peak8120",6.85012645377992,7.57670713737621,2.23657210462248,20.7386720965838,0,0,8.68387114405359,2.76537621050147,9.25934789230143,41.8844116872076,48.9917806023454,27.6745633285825
"peak8132",9.78589493397131,3.7883535686881,3.35485815693373,18.2697825612762,0,2.41011723165406,6.27168471514982,8.29612863150442,13.8890218384521,33.3365725673693,42.8033451578386,25.5457507648454
"peak8145",3.91435797358852,3.7883535686881,1.11828605231124,6.91289069886127,0,12.0505861582703,7.71899657249208,3.45672026312684,13.8890218384521,25.6435173595148,17.0181974723937,13.482479570335
"peak8156",16.6360213877512,9.47088392172026,5.59143026155621,26.1702290742605,18.119470368544,2.41011723165406,6.75412200093057,6.22209647362832,16.2038588115275,56.4157381909326,38.1620185744585,26.9649591406701
