peak,target_gene,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID,CLIP_LFC,CLIP_p,RNA_LFC,RNA_p,Protein_LFC,Protein_p,rank_value
peak179859,Rplp2,ENSMUSG00000025508,P99027,67186,0.00920466650748734,0.983460160689779,0.00357609066911726,0.990508265654227,0.0255165259215496,0.623551864677448,0.0382972830981542
peak137219,Usp24,ENSMUSG00000028514,B1AY13,329908,0.0210495860074683,0.97659144966641,0.0154216325094954,0.90507143117468,-0.00592857369660444,0.694865036151441,0.04239979221356814
peak139377,Srsf10,ENSMUSG00000028676,Q9R0U0,14105,-5.56772715360222e-5,0.99989793259021,0.0167457692062072,0.915501394425657,0.0328201572759518,0.542958140686409,0.04962160375369502
peak15786,Sec63,ENSMUSG00000019802,Q8VHE0,140740,0.0229931007443067,0.960498013729006,0.00207520209765182,0.987246286608618,0.025846449000779,0.301784031925376,0.05091475184273751
peak119887,Caprin1,ENSMUSG00000027184,Q60865,53872,-0.0655588536195065,0.948254692584098,-0.00236275879111753,0.983245943052833,0.00444824901331995,0.962090018902148,0.07236986142394397
peak90037,Brd2,ENSMUSG00000024335,Q7JJ13,14312,-0.023792050653575,0.973812552342595,-0.0248467007701558,0.791780233415943,-0.03876653140125,0.27688820494217,0.08740528282498079
peak74925,Arf3,ENSMUSG00000051853,P61205,11842,0.0669079061281826,0.925152683182294,0.00596834075866392,0.956709387217328,-0.0171560260820751,0.596925634845308,0.09003227296892163
peak119784,Ehf,ENSMUSG00000012350,O70273,13661,0.0285605530501715,0.966683611687349,-0.0146560644838159,0.892151545165133,-0.0477725132372997,0.489795992526031,0.0909891307712871
peak158191,Ankrd17,ENSMUSG00000055204,Q99NH0,81702,0.0137422744674087,0.98238054847423,-0.0576491331627461,0.689051566817359,0.030035582355015,0.588729341093474,0.1014269899851698
peak70936,Pabpc1,ENSMUSG00000022283,P29341,18458,-0.0353493400267604,0.942020061592031,-0.0391956615519236,0.588428553634284,0.032700424918316,0.512036355700945,0.10724542649699999
peak89503,Btbd9,ENSMUSG00000062202,Q8C726,224671,-0.0442561894261554,0.919929413766639,0.0222098561378043,0.810501248934694,0.0411027780844858,0.715036020620814,0.1075688236484455
peak17318,Scamp4,ENSMUSG00000078441,Q9JKV5,56214,-0.029851732276611,0.970663584940919,0.0549772537014784,0.471771079026985,0.0243033095424007,0.471831818819331,0.1091322955204901
