X1,UNIPROT,SYMBOL
ENSMUSG00000015134,Q9JHW9,Aldh1a3
ENSMUSG00000015533,Q62469,Itga2
ENSMUSG00000017607,Q8BZ33,Tns4
ENSMUSG00000020458,Q99P72,Rtn4
ENSMUSG00000020592,P18828,Sdc1
ENSMUSG00000021703,Q8BHJ6,Serinc5
ENSMUSG00000021987,Q8VE11,Mtmr6
ENSMUSG00000022037,Q06890,Clu
ENSMUSG00000024331,P55292,Dsc2
ENSMUSG00000024659,P10107,Anxa1
ENSMUSG00000024952,Q9Z2B9,Rps6ka4
ENSMUSG00000026110,Q812G0,Mgat4a
ENSMUSG00000028063,P48678,Lmna
ENSMUSG00000028194,Q9CWS0,Ddah1
ENSMUSG00000028463,Q8VHB5,Car9
ENSMUSG00000028664,P54763,Ephb2
ENSMUSG00000029338,Q6DFX2,Antxr2
ENSMUSG00000029622,Q9WV32,Arpc1b
ENSMUSG00000030263,Q60664,Lrmp
ENSMUSG00000032348,P24472,Gsta4
ENSMUSG00000033955,P58871,Tnks1bp1
ENSMUSG00000040584,P21447,Abcb1a
ENSMUSG00000040760,Q8K3H0,Appl1
ENSMUSG00000041119,O70628,Pde9a
ENSMUSG00000041782,P57016,Lad1
ENSMUSG00000042306,Q9D2Q8,S100a14
ENSMUSG00000044037,Q60I26,Als2cl
ENSMUSG00000052397,P26040,Ezr
ENSMUSG00000052914,O54750,Cyp2j6
ENSMUSG00000059149,Q6PDC8,Mfsd4a
ENSMUSG00000060147,Q60854,Serpinb6a
ENSMUSG00000073678,Q3UUQ7,Pgap1
ENSMUSG00000074457,Q9D708,S100a16
