"","x"
"1","Pcmtd1"
"2","Cspp1"
"3","Sulf1"
"4","Rdh10"
"5","Rab23"
"6","Dst"
"7","Imp4"
"8","Plekhb2"
"9","Hs6st1"
"10","Cnnm4"
"11","Cox5b"
"12","Unc50"
"13","Eif5b"
"14","Map4k4"
"15","Nck2"
"16","Tpp2"
"17","Col3a1"
"18","Spats2l"
"19","Bzw1"
"20","Nif3l1"
"21","Cflar"
"22","Casp8"
"23","Stradb"
"24","Nop58"
"25","Fam117b"
"26","Pard3b"
"27","Eef1b2"
"28","Fastkd2"
"29","Pikfyve"
"30","Rpl37a"
"31","Arpc2"
"32","Ctdsp1"
"33","Vil1"
"34","Ttll4"
"35","Fam134a"
"36","Sgpp2"
"37","Utp14b"
"38","Acsl3"
"39","Mrpl44"
"40","Agfg1"
"41","Cab39"
"42","B3gnt7"
"43","Ptma"
"44","Eif4e2"
"45","Atg16l1"
"46","Dgkd"
"47","Sh3bp4"
"48","Agap1"
"49","Rnpepl1"
"50","Capn10"
"51","Ano7"
"52","Sept2"
"53","Bok"
"54","Atg4b"
"55","Gin1"
"56","RP24-353D23.1"
"57","Tnfrsf11a"
"58","Zcchc2"
"59","Clasp1"
"60","Tfcp2l1"
"61","Tmem185b"
"62","Mgat5"
"63","Ccnt2"
"64","Rab3gap1"
"65","Ubxn4"
"66","Pigr"
"67","Eif2d"
"68","Nucks1"
"69","Elk4"
"70","Nuak2"
"71","Ppp1r15b"
"72","Plekha6"
"73","Adipor1"
"74","Rabif"
"75","Lad1"
"76","Kif21b"
"77","Dennd1b"
"78","Zbtb41"
"79","Tpr"
"80","Ivns1abp"
"81","Rgs16"
"82","Rnasel"
"83","Glul"
"84","Tor1aip2"
"85","Abl2"
"86","Gas5"
"87","Slc19a2"
"88","Gpa33"
"89","Dedd"
"90","Pvrl4"
"91","F11r"
"92","Copa"
"93","Dcaf8"
"94","Igsf8"
"95","Pigm"
"96","Igsf9"
"97","Zbtb18"
"98","Desi2"
"99","Parp1"
"100","Eprs"
"101","Esrrg"
"102","Tmem206"
"103","Nek2"
"104","Lamb3"
"105","Xkr4"
"106","Mrpl15"
"107","Vcpip1"
"108","Arfgef1"
"109","Ncoa2"
"110","Ube2w"
"111","Tram2"
"112","Smap1"
"113","Phf3"
"114","Ptp4a1"
"115","Fam168b"
"116","Uggt1"
"117","Lman2l"
"118","Sema4c"
"119","Tmem131"
"120","Mgat4a"
"121","Fhl2"
"122","Uxs1"
"123","Col5a2"
"124","Slc40a1"
"125","Nabp1"
"126","Myo1b"
"127","Nab1"
"128","Pgap1"
"129","Sf3b1"
"130","Hspd1"
"131","Satb2"
"132","Trak2"
"133","Ino80d"
"134","Fzd5"
"135","Plekhm3"
"136","Idh1"
"137","Acadl"
"138","Igfbp5"
"139","Tmbim1"
"140","Usp37"
"141","Ihh"
"142","Cnppd1"
"143","Tuba4a"
"144","Dnpep"
"145","Epha4"
"146","Trip12"
"147","Ncl"
"148","Col6a3"
"149","Stk25"
"150","Kdsr"
"151","Vps4b"
"152","RP23-16A20.1"
"153","Ptpn4"
"154","Insig2"
"155","Actr3"
"156","Pfkfb2"
"157","Mapkapk2"
"158","Mfsd4"
"159","Cdk18"
"160","Mdm4"
"161","RP24-200D3.4"
"162","Zc3h11a"
"163","RP24-200D3.4 Zc3h11a"
"164","Btg2"
"165","Tmem183a"
"166","Elf3"
"167","AC124550.3"
"168","Cfh"
"169","Rgs2"
"170","Dhx9"
"171","Cep350"
"172","Tor1aip1"
"173","Soat1"
"174","Zbtb37"
"175","Prdx6"
"176","Prrc2c"
"177","Atp1b1"
"178","Sft2d2"
"179","Mpzl1"
"180","Pou2f1"
"181","Uck2"
"182","Uhmk1"
"183","Atf6"
"184","Ncstn"
"185","Pea15a"
"186","Fh1"
"187","Akt3"
"188","Adss"
"189","Hnrnpu"
"190","Smyd3"
"191","Wdr26"
"192","Capn2"
"193","Prox1"
"194","Vash2"
"195","Atf3"
"196","Ppp2r5a"
"197","Mthfd1l"
"198","Armt1"
"199","Cited2"
"200","Perp"
"201","Ifngr1"
"202","Map3k5"
"203","Map7"
"204","Hbs1l"
"205","Sgk1"
"206","Raet1e H60b"
"207","Stx7"
"208","Ptprk"
"209","Cd164"
"210","Ostm1"
"211","Sec63"
"212","Scml4"
"213","Pdss2"
"214","Cd24a"
"215","Ascc3"
"216","Dcbld1"
"217","Nus1"
"218","Smpdl3a"
"219","Gcc2"
"220","Ranbp2"
"221","Micu1"
"222","Dnajb12"
"223","Spock2"
"224","Psap"
"225","Slc25a16"
"226","Herc4"
"227","Jmjd1c"
"228","Ank3"
"229","Ipmk"
"230","Zwint"
"231","Bcr"
"232","Chchd10"
"233","Pttg1ip"
"234","Ube2g2"
"235","Icosl"
"236","Cdc34"
"237","Bsg"
"238","Hcn2"
"239","Misp"
"240","Ptbp1"
"241","Stk11"
"242","Midn"
"243","Scamp4"
"244","Dot1l"
"245","Zbtb7a"
"246","Eef2"
"247","Eef2 Dapk3"
"248","Dapk3"
"249","Mfsd12"
"250","Ttc41"
"251","Arl1"
"252","Slc5a8"
"253","Uhrf1bp1l"
"254","Cdk17"
"255","Tmcc3"
"256","Eea1"
"257","Galnt4 Poc1b"
"258","Dusp6"
"259","Mgat4c"
"260","Ppp1r12a"
"261","Csrp2"
"262","Osbpl8"
"263","Nap1l1"
"264","Phlda1"
"265","Zfc3h1"
"266","Tspan8"
"267","Cpm"
"268","Tmbim4"
"269","Wif1"
"270","Ppm1h"
"271","Lrig3"
"272","Mettl1"
"273","Stat6"
"274","Myo1a"
"275","Zbtb39"
"276","Atp5b"
"277","Baz2a"
"278","Stat2"
"279","Pan2"
"280","Ankrd52"
"281","Rnf41"
"282","Smarcc2"
"283","Pym1"
"284","Pcmt1"
"285","Samd5"
"286","Stxbp5"
"287","Utrn"
"288","Ltv1 Zc2hc1b"
"289","Heca"
"290","Tnfaip3"
"291","Pex7"
"292","Myb"
"293","Rnf217"
"294","Foxo3"
"295","Aim1"
"296","Prdm1"
"297","Sept10"
"298","Mcu"
"299","Ddit4"
"300","Unc5b"
"301","Eif4ebp2"
"302","Hk1"
"303","Ddx50"
"304","Reep3"
"305","Arid5b"
"306","Cdk1"
"307","Bicc1"
"308","Gucd1"
"309","Cabin1"
"310","Pfkl"
"311","Agpat3"
"312","Pdxk"
"313","Syde1"
"314","Polrmt"
"315","R3hdm4"
"316","Sbno2"
"317","Mknk2"
"318","Plekhj1"
"319","Pias4"
"320","Ncln"
"321","Gna11"
"322","Appl2"
"323","Ckap4"
"324","Hsp90b1"
"325","Apaf1"
"326","Slc25a3"
"327","Tmpo"
"328","Nedd1"
"329","Elk3"
"330","Socs2"
"331","Nudt4"
"332","Tmtc2"
"333","Zdhhc17"
"334","Atxn7l3b"
"335","Cct2"
"336","Frs2"
"337","Lyz1"
"338","Mdm2"
"339","Rap1b"
"340","Dyrk2"
"341","Hmga2"
"342","Tbc1d30"
"343","Rassf3"
"344","Tbk1"
"345","Xpot"
"346","Srgap1"
"347","Usp15"
"348","Pip4k2c"
"349","Mars"
"350","Lrp1"
"351","Myl6 Myl6b"
"352","Rpl41"
"353","Erbb3"
"354","Suox"
"355","Cdk2"
"356","Dgka"
"357","Gdf11"
"358","Mettl7b"
"359","Eif4enif1"
"360","Morc2a"
"361","Lif"
"362","Ascc2"
"363","Nipsnap1"
"364","Ap1b1"
"365","Ykt6"
"366","Ogdh"
"367","Ccm2"
"368","Upp1"
"369","Egfr"
"370","Fbxo48"
"371","Wdr92"
"372","Rab1a"
"373","Vps54"
"374","Xpo1"
"375","Pus10"
"376","Bcl11a"
"377","Rtn4"
"378","Cpeb4"
"379","Stk10"
"380","Pank3"
"381","Atp10b"
"382","Slu7"
"383","Pwwp2a"
"384","Clint1"
"385","Adam19"
"386","Gnb2l1"
"387","Ifi47 Olfr56"
"388","Nhp2"
"389","Skp1a"
"390","Vdac1"
"391","Fstl4"
"392","Aff4"
"393","Irf1"
"394","Fnip1"
"395","Hint1"
"396","Slc36a1"
"397","G3bp1"
"398","Larp1"
"399","Sh3bp5l"
"400","Lypd8"
"401","Mprip"
"402","Alkbh5"
"403","Mief2"
"404","Map2k3"
"405","Specc1"
"406","Trim16"
"407","Pmp22"
"408","Gas7"
"409","Per1"
"410","Trappc1 Kcnab3"
"411","Trappc1"
"412","Trp53"
"413","Fxr2"
"414","Neurl4"
"415","Cldn7"
"416","Arrb2"
"417","Psmb6"
"418","Mink1"
"419","Rnf167"
"420","Xaf1"
"421","Mybbp1a"
"422","Ankfy1"
"423","Zzef1"
"424","Atp2a3"
"425","Cluh"
"426","Mnt"
"427","Tsr1"
"428","Smg6"
"429","Prpf8"
"430","Slc43a2"
"431","Pitpna"
"432","Myo1c"
"433","Crk"
"434","Ywhae"
"435","Blmh"
"436","Ssh2"
"437","Nufip2"
"438","Fam222b"
"439","Sdf2"
"440","Aldoc"
"441","Slc46a1"
"442","Nos2"
"443","Rhot1"
"444","Tmem98"
"445","Slfn5"
"446","Slfn4"
"447","Ap2b1"
