geneSymbol,half_life
0610005I04,12.534
0610006I08Rik,8.222
0610007C21Rik,7.77
0610007L01Rik,8.135
0610007N19Rik,13.862
0610007P06Rik,5.996
0610007P08Rik,3.213
0610007P14Rik,9.667
0610007P22Rik,3.976
0610008C08Rik,7.575
0610008F07Rik,13.459
0610009B14Rik,3.154
0610009B22Rik,2.358
0610009D07Rik,8.818
0610009J22Rik,7.288
0610009K11Rik,2.568
0610009L18Rik,6.064
0610009O03Rik,11.325
0610009O20Rik,17.818
0610010D20Rik,6.842
0610010D24Rik,3.162
0610010E21Rik,5.402
0610010F05Rik,9.521
0610010K06Rik,5.626
0610010K14Rik,9.469
0610010O12Rik,18.886
0610011F06Rik,15.234
0610011L14Rik,3.35
0610012D14Rik,14.145
0610012D17Rik,8.886
0610012G03Rik,7.779
0610012H03Rik,7.16
0610013E23Rik,6.607
0610016J10Rik,6.238
0610025P10Rik,7.28
0610030E20Rik,4.367
0610031J06Rik,17.114
0610033I05Rik,5.211
0610033M10Rik,2.684
0610037D15Rik,10.223
0610037L13Rik,7.903
0610037M15Rik,14.685
0610037P05Rik,9.096
0610038D11Rik,5.919
0610038F07Rik,6.607
0610039H22Rik,3.779
0610039J04Rik,6.652
0610040B09Rik,24
0610040B10Rik,3.593
0610040D20Rik,8.909
0610040F04Rik,7.334
0610040J01Rik,3.907
0710001B24Rik,23.259
0710001D07Rik,5.54
0710005I19Rik,4.13
0710005M24Rik,11.4
0710008K08Rik,10.376
0910001A06Rik,5.571
0910001L09Rik,13.564
1100001H23Rik,4.587
1100001I22Rik,7.841
1110001A07Rik,4.133
1110001A16Rik,21.593
1110001A23Rik,4.326
1110001J03Rik,9.64
1110002B05Rik,11.669
1110002E23Rik,13.485
1110002H13Rik,8.331
1110002L01Rik,6.117
1110002N22Rik,2.079
1110002O04Rik,10.089
1110003E01Rik,9.653
1110003O08Rik,4.773
1110004B13Rik,13.278
1110004E09Rik,7.008
1110004F10Rik,6.085
1110005A03Rik,7.744
1110005A23Rik,10.33
1110006G06Rik,12.956
1110006G14Rik,6.155
1110006O17Rik,8.74
1110006O24Rik,5.709
1110007A13Rik,6.652
1110007C02Rik,6.938
1110007C09Rik,11.363
1110007J02Rik,10.314
1110007L15Rik,10.016
1110007M04Rik,3.927
1110008B24Rik,8.232
1110008E08Rik,24
1110008F13Rik,5.307
1110008H02Rik,4.34
1110008J03Rik,3.714
1110008K04Rik,9.817
1110008L16Rik,6.465
1110008P14Rik,24
1110012D08Rik,7.044
1110012J17Rik,8.432
1110012L19Rik,3.595
1110012M11Rik,13.974
1110012N22Rik,4.113
1110013L07Rik,8.829
1110014J01Rik,9.013
1110014K08Rik,4.724
1110014L15Rik,7.676
1110014N23Rik,24
1110017D15Rik,9.291
1110017F19Rik,6.155
1110017I16Rik,10.534
1110018G07Rik,3.844
1110018J18Rik,8.653
1110018M03Rik,2.958
1110018N20Rik,4.763
1110019J04Rik,6.938
1110019N10Rik,11.868
1110020A21Rik,6.222
1110020C03Rik,9.627
1110020G09Rik,9.534
1110020P15Rik,9.707
1110021J02Rik,24
1110021L09Rik,7.197
1110025D03Rik,2.741
1110028A07Rik,17.818
1110028C15Rik,3.474
1110029E03Rik,6.085
1110030E23Rik,9.001
1110031B06Rik,8.212
1110031I02Rik,10.345
1110032A03Rik,21.197
1110032A04Rik,6.406
1110032A13Rik,6.043
1110032D12Rik,6.058
1110032E23Rik,8.125
1110032F04Rik,2.939
1110032O16Rik,8.897
1110033J19Rik,6.459
1110033M05Rik,9.762
1110034A24Rik,3.213
1110034B05Rik,5.514
1110034G24Rik,3.863
1110034N17Rik,4.257
1110035H17Rik,3.835
1110035M17Rik,7.16
1110036E04Rik,9.495
1110036O03Rik,23.338
1110037F02Rik,6.032
1110038B12Rik,2.637
1110038D17Rik,5.719
1110038F14Rik,5.223
1110039B18Rik,6.677
1110039F03Rik,3.274
1110046J04Rik,24
1110048D14Rik,4.252
1110049B09Rik,9.534
1110049F12Rik,12.139
1110051B16Rik,4.198
1110051M20Rik,8.686
1110054O05Rik,3.445
1110055J05Rik,13.617
1110057K04Rik,13.511
1110058A15Rik,8.193
1110058D11Rik,7.823
1110058L19Rik,10.984
1110059E24Rik,3.846
1110059G10Rik,2.513
1110059P08Rik,5.081
1110060D06Rik,5.737
1110061N23Rik,14.031
1110061O04Rik,7.903
1110064P04Rik,4.853
1110065P20Rik,15.167
1110067D22Rik,5.352
1110067I12Rik,8.193
1190002A17Rik,11.344
1190002C06Rik,5.488
1190002H23Rik,4.895
1190002J23Rik,4.07
1190002N15Rik,2.386
1190003J15Rik,10.932
1190003M12Rik,24
1190005F20Rik,2.423
1190005I06Rik,9.845
1190005P17Rik,5.172
1190007F08Rik,4.874
1190017O12Rik,10.881
1190020J12Rik,24
1200002N14Rik,11.889
1200003C05Rik,3.665
1200003I07Rik,1.759
1200003M09Rik,7.138
1200004M23Rik,6.295
1200006F02Rik,5.303
1200009F10Rik,20.629
1200009I06Rik,7.051
1200009O22Rik,5.184
1200011I18Rik,8.762
1200011M11Rik,2.382
1200011O22Rik,7.912
1200013B08Rik,14.35
1200013P24Rik,8.022
1200014J11Rik,4.46
1200014M14Rik,2.704
1200015A19Rik,14.38
1200015F23Rik,7.065
1200015N20Rik,3.22
1200016B10Rik,6.216
1200016E24Rik,6.755
1300001I01Rik,7.001
1300003B13Rik,4.252
1300007F04Rik,2.625
1300010F03Rik,10.881
1300010M03Rik,6.945
1300012G16Rik,24
1300013J15Rik,8.004
1300014I06Rik,1.682
1300017J02Rik,15.134
1300018I05Rik,6.69
1300018I17Rik,6.032
1300018J18Rik,6.677
1500001A10Rik,3.663
1500001M20Rik,7.235
1500002C15Rik,3.017
1500002O20Rik,12.788
1500003O03Rik,14.41
1500003O22Rik,2.14
1500004A08Rik,5.54
1500004F05Rik,10.631
1500005A01Rik,7.116
1500005I02Rik,6.71
1500005K14Rik,4.498
1500005P14Rik,8.642
1500009C09Rik,5.781
1500009L16Rik,24
1500010J02Rik,6.144
1500011B03Rik,3.495
1500011H22Rik,4.53
1500011J06Rik,2.761
1500011K16Rik,6.359
1500012F01Rik,1.246
1500015A07Rik,0.732
1500015L24Rik,24
1500015O10Rik,10.763
1500016O10Rik,5.377
1500019G21Rik,14.623
1500026B10Rik,20.208
1500031H01Rik,3.842
1500031L02Rik,6.69
1500032D16Rik,6.52
1500032L24Rik,9.108
1500034J01Rik,6.484
1500035H01Rik,7.109
1500035N22Rik,5.196
1500041N16Rik,11.788
1520401A03Rik,18.385
1520402A15Rik,2.509
1600002H07Rik,6.134
1600002K03Rik,14.906
1600002O04Rik,4.667
1600012F09Rik,3.429
1600012H06Rik,2.495
1600012P17Rik,24
1600014C10Rik,15.717
1600014C23Rik,10.647
1600014E20Rik,3.565
1600014K23Rik,24
1600015H20Rik,9.804
1600016N20Rik,22.004
1600019K03Rik,24
1600020E01Rik,12.931
1600021P15Rik,4.79
1600025M17Rik,6.815
1600027J07Rik,12.931
1600027N09Rik,7.342
1600029D21Rik,17.157
1600029O15Rik,7.736
1700001C02Rik,17.548
1700001C19Rik,7.591
1700001D09Rik,18.533
1700001F09Rik,24
1700001G17Rik,5.686
1700001J03Rik,9.001
1700001J04Rik,15.003
1700001K19Rik,23.338
1700001K23Rik,24
