Slc40a1,Q9JHI9
RP24-342G5.6,
Malat1,B0LAE7
RP24-426M1.3,
RP24-273P12.4 Casp8,
RP24-353D23.1,
Pik3c2b,E9QAN8
RP23-71J17.1,
Gas5,V9H0V2
Phf3,Q8BLA7
Trak2,Q6P9N8
Col6a3,E9PWQ3
RP23-16A20.1,
RP24-200D3.4,
RP24-200D3.4 Zc3h11a,
AC124550.3,
Zbtb37,Q8C3U9
H3f3a,P84244
AC131992.1,
Raet1e H60b,
Slc25a16,
Chchd10,
Dot1l,Q6XZL8
Eef2 Dapk3,
RP24-227O16.1,
Galnt4 Poc1b,
Zfc3h1,Q6A049
Zbtb39,Q6PDK0
Utrn,O08614
Ltv1 Zc2hc1b,
Heca,Q3V1N5
RP24-170A20.3,
Hnrnph3,D3Z3N4
Cabin1,Q3TGB0
Myl6 Myl6b,
Atp10b,B1AWN4
Ifi47 Olfr56,
RP23-79E13.6,
Trappc1 Kcnab3,
RP23-185A18.9,
Slfn4,Q3UV10
Taf15,Q8BQ46
Vezf1,
Spop,
RP23-85A17.4,
Mllt6,Q3UPK1
Nmt1 Gm26668,
Acbd4,E9Q289
RP23-17N7.3 Limk2,
Tug1,Q8CI88
RP23-242C19.7,
RP23-188K3.6,
Mmp28,Q8CGV8
Lpo,Q5SW46
RP23-176J13.6,
Bptf,Q6P9L3
RP23-468D17.1,
Rab10os,Q9DAE6
Atad2b,E9Q166
Kidins220,E9Q9B7
Ccdc71l,E9Q4T4
Mampt,
RP24-185O19.6,
Zfp386,
Macc1,Q8CE58
Elmsan1,E9Q2I4
Mlh3,
RP23-43G12.1,
Trip11,
RP24-234J3.3,
Igha,
Ighv5-4,
Ighv3-8,A0A075B5T0
Hist1h2bj,
Hist1h3g Hist1h2af,
Hist1h4d,
Hist1h4b,P62806
RP23-92G13.4,
Fam8a1,
RP23-81N4.4,
RP23-189B9.3 AC130827.2,
AC130827.2,
RP24-196I12.2 RP24-540A17.2,
Hist1h2be,Q6ZWY9
Hist1h1e Hist1h2be,
A530084C06Rik,Q3UTW2
Nup153,Q8BRF6
Zfp874a,Q8BX23
RP23-206J9.3,
Zfp87,Q9JIB9
RP23-118M14.2,
Gpbp1 RP23-359G8.3,
Sec24c,Q80U83
RP24-84D8.5,
Kif13b,E9Q4K7
4930480K23Rik,
Lmo7,E9PYF4
RP23-55L3.5,
Gprin2,A0A2I3BRN2
n-R5s46,
RP23-127E21.1,
Phf11b,B4XVQ1
RP23-359F5.1,
Akap11,Q8BSJ2
RP24-288B1.2,
Rnf139 RP24-354I13.6,
RP23-386K4.1,
AC104325.1,
Rnu12,
Mettl7a1,
Fam84b,D3YXJ5
RP23-230O9.4,
RP23-180L12.1,
RP23-212I23.1,
Fignl2,J3QK54
Spryd3,E9Q9B3
Smim22,J3QP37
Usf3,
Ifngr2,Q63953
Zfp597,
BC016579,E9QP50
Airn,Q78TB4
RP24-221F4.2,
Zfp53,Q9Z117
Zfp948,Q6DFU8
Zfp760,Q5U4A6
Zfp758,Q8CFF3
Prss32,E9Q409
H2-Q4,Q8HWB2
Rnf39,A2RT81
RP23-345D6.8-1,
RP23-345D6.11,
Gm26561,
Foxn2,E9Q7L6
Fndc1,
Pdpk1,Q9Z2A0
Zfp871,G5E905
Btnl5-ps,
Btnl6,A2CG22
Skiv2l,Q6NZR5
RP23-349B4.7,
RP24-180B11.5,
AC102225.2,
Cep192,E9Q4Y4
Tmed7,D3YZZ5
n-R5-8s1,
Gm23119,
Zfp407,Q8C020
Socs6,Q9JLY0
RP23-140G16.1,
Gm23997,
AC129188.1,
Ahnak,E9Q616
D030056L22Rik,Q3UMB2
Kank1,Q6AXG6
Btaf1,E9QAE3
AC132303.1,
Dusp5,Q1HL35
Tcf7l2,
Ppnr Tcf7l2,
Ndufs8 Tcirg1,
RP23-41B18.5,
Neat1,
AI846148,
Ms4a7,Q99N04
RP23-341M13.1,
Ifit1bl1,
9130011E15Rik,
Bbip1,J3QMK2
Fam171a1,A2ATK9
Rapgef1,
Lrrc8a RP23-395P6.10,
Fubp3,Q3TIX6
Gm23731,
RP23-297K24.1,
RP23-22A15.2,
Trp53rkb,
Pfdn4,E9Q6U4
Hspa14 RP23-167G19.12,
RP23-328P7.1 Lrp1b,
Baz2b,Q8C0K4
Ctnnd1 RP23-387F9.7,
Qser1,Q3UR75
Duox2,B7ZWM4
Fastkd5 Ubox5,
RP23-32L15.2,
Cenpb Spef1,
RP23-199B10.2,
RP23-91K11.3,
Plagl2,Q925T4
RP23-220D12.12,
RP24-114E18.8,
Zmynd8,Q80Y82
RP23-391M18.7,
Zfp217,Q3U0X6
Prelid3b Atp5e,
Taf4,
Atp11b,Q6ZQ17
RP23-243E17.1,
RP23-346I1.1 Mgst2,
Tsc22d2,E9Q7M2
Arhgef26,
Mex3a,G3UYU0
Gbp7,Q78UK8
Slc10a5 RP23-436F15.5,
Maml3,D4QGC2
RP23-347F4.1,
Trim2,
RP23-37G19.2,
Ap1ar,E9PYF7
RP23-173N16.6,
Rap1gds1,E9Q912
Clca3b,
Clca4b,
Mdn1,A2ANY6
RP23-230C2.2,
RP23-398D18.4,
RP23-40G2.3,
Kti12 Txndc12,
RP24-16C11.2,
RP23-273D6.2,
RP23-153M14.4,
Gpatch3 Gpn2,
RP23-267E14.2,
Pnrc1,Q3TWH3
Ubap2,
RP23-211P15.1,
RP23-356F8.1,
Zfyve9,
Btbd19,S4R1I0
RP23-284L6.7,
Snhg3 Rcc1,
Sfn,
Vps13d,B1ART1
RP23-192C21.1,
N4bp2,Q69ZK1
Btbd8 RP23-32E20.1,
Rplp0 Gcn1l1,
AC126938.1,
Fis1 Cldn15,
Zfp655,
Rsbn1l,D3Z0K6
RP23-110C17.2,
Sh3tc1,Q3TXV8
Tada2b,
AC167815.1,
Fryl,Q80XD5
RP23-318I19.2 Fryl,
Zfp644,Q80TH4
Fbrsl1,E9Q9T0
AC162528.2,
Muc3,O35419
CAAA01224633.1,
AC159257.5,
Zfp68,Q9Z116
Adap1,E9PY16
RP23-56M2.7 Col1a2,
Ppp1r9a,
RP23-365O8.4 C1galt1,
Cped1,Q8BMB4
Cald1,E9QA16
Nup205,B9EJ54
RP23-338E5.2,
Mgam,Q6XK24
Mgam2-ps,
Trbc2,A0A075B5J4
Sval1,Q9D2X6
Hottip,Q8CCA9
Herc3,Q9CYM1
RP23-281H4.10,
RP23-281H4.3,
RP23-434H14.8 Etv6,
Plekha5,E9Q6H8
RP24-328P2.5,
RP23-343E20.2,
RP23-392I2.3 Wasl,
RP23-83N17.1,
Hoxa3 Hoxa6,
Kbtbd2,Q8BSY6
Igkv8-30,Q52L64
RP23-448G18.4,
Gt(ROSA)26Sor,
Grcc10 RP24-297C1.14,
RP24-127M20.8,
Dusp16,
Nova2,
RP23-457F4.2,
Zfp626,E9QA60
Fcgbp,Q8C5Q6
Nav2,Q8BJG0
Adamts17,D3YX90
RP23-256J14.2 Abhd2,
RP24-344N22.3 Picalm,
Rsf1,
RP23-386F15.3,
AC165086.3,
RP23-4H17.4 AC136146.4,
Srcap,
Cd81 Tssc4,
Pvrl2,P32507
Pvr,Q8K094
n-R5s152,
Fam98c,E9PYD1
RP23-32A8.1,
RP23-285C18.2,
Prss8,
AC124566.2,
H19,Q61639
Ppfia1,B8QI33
Fat1,Q9QXA3
Ddx60,Q811K8
Zfp930,F6YAM1
Hmgxb4,Q80Y32
RP23-359B23.5,
AC128663.3,
Pdp2,Q504M2
AC124713.2,
Zc3h18 AC114005.5,
Urb2,
Efnb2,
RP24-345M16.1,
Ifi30 Mpv17l2,
Smpd3 Gm26786,
H2afx Dpagt1,
Pkm Gramd2,
Herc1,E9PZP8
Myo5c,E9Q1F5
Uba7,Q8BTN4
Tmppe,
RP23-424C4.5,
Zfp810,Q99K45
RP23-437A9.3,
RP24-89C4.5,
Polr2m Gcom1,
Phip,
Fam46a,Q3V3I9
Zbtb38,Q3LR78
Dnajc13,Q3UQJ7
Rbm6,S4R1W5
Gm24259,
Nbeal2 Nradd,
mt-Rnr1,
mt-Rnr2,
mt-Tl1,
mt-Ti,
mt-Tm,
mt-Ts2,
mt-Tl2,
mt-Tq,
mt-Ta,
mt-Tc,
Dusp9,Q7TNL7
Xist,
RP23-284F8.1,
Gm47283,
