2810403A07Rik,A0A0G2JEG2
4930480K23Rik,
9130008F23Rik,Q9D2Z6
9130011E15Rik,
9930111J21Rik2,Q8CB10
Adap1,E9PY16
Ahnak,E9Q616
AI846148,
Airn,Q78TB4
Akr1c12,Q9R0M7
Amn1,B8JKV0
Ankhd1,Q8C103
Atad2b,E9Q166
Atp10b,B1AWN4
Atp11b,Q6ZQ17
B230354K17Rik,Q8BNK1
Baz2b,Q8C0K4
Bbip1,J3QMK2
BC003965,Q3URN7
BC016579,E9QP50
Bcl2l12,Q9D3J3
Bhlhe40,O35185
Bms1,Q3UYW7
Brd1,E9PZ26
Brpf3,B2KF05
Btnl4,A2CG29
Btnl5-ps,
Cabin1,Q3TGB0
Ccdc28a,Q3UFK1
Ccdc71l,E9Q4T4
Chordc1,Q9D1P4
Cnksr1,A2A9K7
Col6a3,E9PWQ3
Cped1,Q8BMB4
Cutal,Q9D1U5
Cyp2d34,L7N463
Dand5,Q76LW6
Ddx3x,Q62167
Ddx60,Q811K8
Dgkd,E9PUQ8
Dhx38,Q80X98
Dip2c,B2RQ71
Dnajc13,Q3UQJ7
Dot1l,Q6XZL8
Duox2,B7ZWM4
Dusp5,Q1HL35
Efnb2,P52800
Elmsan1,E9Q2I4
Entpd6,Q3U0P5
Fam171a1,A2ATK9
Fam46a,Q3V3I9
Fam84b,D3YXJ5
Fance,B8JJD6
Fat1,Q9QXA3
Fbrsl1,E9Q9T0
Fcgbp,Q8C5Q6
Foxd2os,
Fryl,Q80XD5
Fubp3,Q3TIX6
Gm10184,
Gm17619,
Gm23119,
Gm24259,
Gm26561,
Gm26637,
Gpr155,A2AWR3
H19,Q61639
H2-Q2,Q4KN81
H2-Q4,Q8HWB2
H2-Q6,P79568
Haus6,Q8BQC6
Heca,Q3V1N5
Herc1,E9PZP8
Hist1h2be,Q6ZWY9
Hist1h3a,P68433
Hist1h4d,P62806
Hist2h3b,P84228
Hmgxb4,Q80Y32
Hottip,Q8CCA9
Hoxa11os,
Idh3b,Q91VA7
Ifngr2,Q63953
Ighv5-12,A0A075B5Q4
Igkv5-39,Q65ZI1
Inafm2,A0A1L1STD6
Ino80e,Q8R359
Itpkb,B2RXC2
Kbtbd2,Q8BSY6
Kcnk5,Q9JK62
Kctd14,A0A0U1RPG8
Kidins220,E9Q9B7
Kif13b,E9Q4K7
Lmo7,E9PYF4
Lpo,Q5SW46
Lrrc31,F6VYM1
Lypla1,P97823
Macc1,Q8CE58
Malat1,B0LAE7
Maml3,D4QGC2
Man1c1,Q6NXK9
March2,Q99M02
March3,Q8BRX9
March6,Q6ZQ89
March7,Q9WV66
March8,Q9DBD2
Mcc,E9PWI3
Mettl7a1,Q9D7S5
Mgam,Q6XK24
Mgst2,A2RST1
Mllt6,Q3UPK1
