"","c..2810403A07Rik....4930480K23Rik....9130008F23Rik....9130011E15Rik..."
"1","2810403A07Rik"
"2","4930480K23Rik"
"3","9130008F23Rik"
"4","9130011E15Rik"
"5","9930111J21Rik2"
"6","Aaed1"
"7","Aatf"
"8","Abcd3"
"9","Abcg2"
"10","Abhd16a"
"11","Abhd4"
"12","Abi1"
"13","Abl2"
"14","Acaca"
"15","Acad11"
"16","Acads"
"17","Acbd3"
"18","Acer3"
"19","Acin1"
"20","Acnat1"
"21","Acot11"
"22","Acsbg1"
"23","Acsl5"
"24","Acsm3"
"25","Actg1"
"26","Actr1b"
"27","Acvr2a"
"28","Adal"
"29","Adamts12"
"30","Adamts2"
"31","Adamts4"
"32","Adap1"
"33","Adap2"
"34","Adcy9"
"35","Adm"
"36","Adnp2"
"37","Ado"
"38","Adpgk"
"39","Adrbk1"
"40","Adrm1"
"41","Afap1l1"
"42","Agfg2"
"43","Agrp"
"44","Ahctf1"
"45","Ahnak"
"46","Ahsa2"
"47","AI846148"
"48","Aimp2"
"49","Airn"
"50","Ajuba"
"51","Akap1"
"52","Akr1c12"
"53","Akr1c13"
"54","Akr7a5"
"55","Akt3"
"56","Aldh3a2"
"57","Aldh7a1"
"58","Alg11"
"59","Alg13"
"60","Alg2"
"61","Alg9"
"62","Alkbh4"
"63","Alyref"
"64","Ambra1"
"65","Amica1"
"66","Amn1"
"67","Anapc1"
"68","Anapc16"
"69","Anapc2"
"70","Ankhd1"
"71","Ankib1"
"72","Ankrd10"
"73","Ankrd13a"
"74","Ankrd13c"
"75","Ankrd16"
"76","Ankrd49"
"77","Ano10"
"78","Ano6"
"79","Anxa4"
"80","Anxa7"
"81","Ap1m1"
"82","Ap3b1"
"83","Ap3d1"
"84","Ap3s1"
"85","Apc"
"86","Apeh"
"87","Aprt"
"88","Aqr"
"89","Arcn1"
"90","Arf1"
"91","Arf4"
"92","Arfgap1"
"93","Arfgef2"
"94","Arglu1"
"95","Arhgap17"
"96","Arhgap19"
"97","Arhgap26"
"98","Arhgap27"
"99","Arhgap28"
"100","Arhgap39"
"101","Arhgef12"
"102","Arhgef28"
"103","Arhgef38"
"104","Arhgef5"
"105","Arhgef6"
"106","Arid1a"
"107","Arid3a"
"108","Arih1"
"109","Arih2"
"110","Arl4a"
"111","Arl5a"
"112","Arl8a"
"113","Arpc5"
"114","Asah2"
"115","Ash2l"
"116","Aspdh"
"117","Aspm"
"118","Atad2b"
"119","Atad5"
"120","Atf7"
"121","Atg4c"
"122","Atg9a"
"123","Atn1"
"124","Atp10b"
"125","Atp11a"
"126","Atp11b"
"127","Atp11c"
"128","Atp13a1"
"129","Atp2b1"
"130","Atp2c1"
"131","Atp6v0b"
"132","Atp6v0d1"
"133","Atp8a2"
"134","Atr"
"135","Atxn1"
"136","Atxn3"
"137","Aven"
"138","Azin1"
"139","B230354K17Rik"
"140","B4galt4"
"141","B4galt6"
"142","Bach2"
"143","Bag1"
"144","Bag3"
"145","Bag4"
"146","Bag5"
"147","Baiap2"
"148","Bambi"
"149","Baz2b"
"150","Bbip1"
"151","BC003965"
"152","BC016579"
"153","Bcap29"
"154","Bcap31"
"155","Bccip"
"156","Bcl2"
"157","Bcl2l12"
"158","Bcl2l14"
"159","Bcl9l"
"160","Bclaf1"
"161","Bcr"
"162","Bdh1"
"163","Bdp1"
"164","Bin3"
"165","Bmp2k"
"166","Bmpr2"
"167","Bms1"
"168","Boc"
"169","Bola2"
"170","Bop1"
"171","Brcc3"
"172","Brd1"
"173","Brd3"
"174","Bri3bp"
"175","Brpf3"
"176","Btbd3"
"177","Btbd6"
"178","Btbd7"
"179","Btc"
"180","Btnl4"
"181","Btnl5-ps"
"182","C1galt1c1"
"183","C1qbp"
"184","Cabin1"
"185","Cables1"
"186","Cad"
"187","Camk2d"
"188","Camk2g"
"189","Cand1"
"190","Cap1"
"191","Capn15"
"192","Car4"
"193","Carhsp1"
"194","Casc3"
"195","Casp8ap2"
"196","Cast"
"197","Cat"
"198","Cav2"
"199","Cbfa2t3"
"200","Cbfb"
"201","Cbll1"
"202","Cbx2"
"203","Ccdc167"
"204","Ccdc186"
"205","Ccdc25"
"206","Ccdc28a"
"207","Ccdc47"
"208","Ccdc68"
"209","Ccdc71"
"210","Ccdc71l"
"211","Ccl28"
"212","Ccnc"
"213","Ccnd3"
"214","Ccne1"
"215","Ccng1"
"216","Ccni"
"217","Cd200"
"218","Cd276"
"219","Cd2bp2"
"220","Cd302"
"221","Cd47"
"222","Cd82"
"223","Cdc14a"
"224","Cdc25b"
"225","Cdc27"
"226","Cdc42bpa"
"227","Cdc42ep4"
"228","Cdc42ep5"
"229","Cdc42se1"
"230","Cdc73"
"231","Cdca7"
"232","Cdk18"
"233","Cdk5"
"234","Cdkl5"
"235","Cdkn2aip"
"236","Cdkn2aipnl"
"237","Cdo1"
"238","Cdsn"
"239","Cdyl"
"240","Cebpg"
"241","Cenpm"
"242","Cenpv"
"243","Cep128"
"244","Cep295"
"245","Cep350"
"246","Cept1"
"247","Ces2c"
"248","Cetn3"
"249","Cfl2"
"250","Cftr"
"251","Cgn"
"252","Champ1"
"253","Chchd5"
"254","Chd8"
"255","Chga"
"256","Chgb"
"257","Chka"
"258","Chml"
"259","Chmp2b"
"260","Chmp4b"
"261","Chmp4c"
"262","Chordc1"
"263","Chpf"
"264","Chtf8"
"265","Ciita"
"266","Cited4"
"267","Clcn2"
"268","Clec7a"
"269","Clic4"
"270","Clic5"
"271","Clk2"
"272","Clk3"
"273","Clptm1l"
"274","Clrn3"
"275","Cmah"
"276","Cmpk2"
"277","Cmtm3"
"278","Cnih4"
"279","Cnksr1"
"280","Cnn2"
"281","Cnot11"
