"","c..4930480K23Rik....9130011E15Rik....A530084C06Rik....Acbd4..."
"1","4930480K23Rik"
"2","9130011E15Rik"
"3","A530084C06Rik"
"4","Acbd4"
"5","Adap1"
"6","Ahnak"
"7","AI846148"
"8","Airn"
"9","Akap11"
"10","Ap1ar"
"11","Atad2b"
"12","Atp10b"
"13","Atp11b"
"14","Baz2b"
"15","Bbip1"
"16","BC016579"
"17","Bptf"
"18","Brd1"
"19","Btaf1"
"20","Btbd19"
"21","Btnl5-ps"
"22","Cabin1"
"23","Cald1"
"24","Ccdc71l"
"25","Cep192"
"26","Col6a3"
"27","Cped1"
"28","D030056L22Rik"
"29","Ddx60"
"30","Dgkd"
"31","Dnajc13"
"32","Dot1l"
"33","Duox2"
"34","Dusp5"
"35","Dusp9"
"36","Elmsan1"
"37","Entpd6"
"38","Fam171a1"
"39","Fam46a"
"40","Fam84b"
"41","Fam98c"
"42","Fat1"
"43","Fbrsl1"
"44","Fcgbp"
"45","Fignl2"
"46","Foxn2"
"47","Fryl"
"48","Fubp3"
"49","Gas5"
"50","Gbp7"
"51","Gm23119"
"52","Gm24259"
"53","Gm26561"
"54","Gt(ROSA)26Sor"
"55","H19"
"56","H2-Q4"
"57","H3f3a"
"58","Heca"
"59","Herc1"
"60","Herc3"
"61","Hist1h2be"
"62","Hist1h4b"
"63","Hmgxb4"
"64","Hnrnph3"
"65","Hottip"
"66","Ifngr2"
"67","Ighv3-8"
"68","Igkv8-30"
"69","Kank1"
"70","Kbtbd2"
"71","Kidins220"
"72","Kif13b"
"73","Lmo7"
"74","Lpo"
"75","Macc1"
"76","Malat1"
"77","Maml3"
"78","Mdn1"
"79","Mex3a"
"80","Mgam"
"81","Mgst2"
"82","Mllt6"
"83","Mmp28"
"84","Ms4a7"
"85","mt-Rnr1"
"86","mt-Rnr2"
"87","Muc3"
"88","Myo5c"
"89","N4bp2"
"90","Nav2"
"91","Neat1"
"92","Nup153"
"93","Nup205"
"94","Pdp2"
"95","Pdpk1"
"96","Pfdn4"
"97","Phf11b"
"98","Phf3"
"99","Pik3c2b"
"100","Pip5k1a"
"101","Pip5k1b"
"102","Pla2g3"
"103","Plagl2"
"104","Plekha5"
"105","Pnrc1"
"106","Ppfia1"
"107","Prss32"
"108","Pvr"
"109","Pvrl2"
"110","Qser1"
"111","Rab10os"
"112","Rap1gds1"
"113","Rbm6"
"114","Rnf39"
"115","RP24-426M1.3"
"116","Rsbn1l"
"117","Sec24c"
"118","Sh3tc1"
"119","Skiv2l"
"120","Slc40a1"
"121","Slfn4"
"122","Smim22"
"123","Socs6"
"124","Spryd3"
"125","Sval1"
"126","Taf15"
"127","Tmed7"
"128","Trak2"
"129","Trbc2"
"130","Tsc22d2"
"131","Tug1"
"132","Uba7"
"133","Utrn"
"134","Vps13d"
"135","Xist"
"136","Zbtb37"
"137","Zbtb38"
"138","Zbtb39"
"139","Zfc3h1"
"140","Zfp217"
"141","Zfp407"
"142","Zfp53"
"143","Zfp626"
"144","Zfp644"
"145","Zfp68"
"146","Zfp758"
"147","Zfp760"
"148","Zfp810"
"149","Zfp87"
"150","Zfp871"
"151","Zfp874a"
"152","Zfp930"
"153","Zfp948"
"154","Zmynd8"
