"","x"
"1","Dgkd"
"2","Sept2"
"3","RP24-353D23.1"
"4","Gas5"
"5","Phf3"
"6","Trak2"
"7","Col6a3"
"8","RP23-16A20.1"
"9","RP24-200D3.4"
"10","RP24-200D3.4 Zc3h11a"
"11","AC124550.3"
"12","Zbtb37"
"13","Raet1e H60b"
"14","Chchd10"
"15","Dot1l"
"16","Eef2 Dapk3"
"17","Galnt4 Poc1b"
"18","Zfc3h1"
"19","Zbtb39"
"20","Utrn"
"21","Ltv1 Zc2hc1b"
"22","Heca"
"23","Sept10"
"24","Cabin1"
"25","Myl6 Myl6b"
"26","Atp10b"
"27","Ifi47 Olfr56"
"28","Trappc1 Kcnab3"
"29","Slfn4"
"30","Vezf1"
"31","Mllt6"
"32","Nmt1 Gm26668"
"33","Acbd4"
"34","Tug1"
"35","RP23-242C19.7"
"36","RP23-188K3.6"
"37","Mmp28"
"38","RP23-468D17.1"
"39","Atad2b"
"40","Gm25538"
"41","Gm25414"
"42","Kidins220"
"43","Ccdc71l"
"44","Mampt"
"45","RP24-185O19.6"
"46","RP24-342G5.6"
"47","Zfp386"
"48","Macc1"
"49","Elmsan1"
"50","Mlh3"
"51","RP23-43G12.1"
"52","Trip11"
"53","RP24-234J3.3"
"54","Igha"
"55","Ighv5-4"
"56","Ighv3-8"
"57","Hist1h2bj"
"58","Hist1h4d"
"59","Hist1h2bc"
"60","Hist1h4b"
"61","RP23-92G13.4"
"62","Fam8a1"
"63","RP23-189B9.3 AC130827.2"
"64","AC130827.2"
"65","RP23-283N14.2"
"66","A530084C06Rik"
"67","Nup153"
"68","Zfp429"
"69","RP23-206J9.3"
"70","Zfp87"
"71","Gpbp1 RP23-359G8.3"
"72","Sec24c"
"73","RP24-84D8.5"
"74","Kif13b"
"75","Lmo7"
"76","RP23-55L3.5"
"77","Gprin2"
"78","RP23-127E21.1"
"79","Phf11b"
"80","RP23-359F5.1"
"81","Rnf139 RP24-354I13.6"
"82","RP23-386K4.1"
"83","AC104325.1"
"84","Rnu12"
"85","Mettl7a1"
"86","March6"
"87","Fam84b"
"88","RP23-230O9.4"
"89","RP23-180L12.1"
"90","Brd1"
"91","RP23-212I23.1"
"92","Fignl2"
"93","Spryd3"
"94","Usf3"
"95","Ifngr2"
"96","Zfp597"
"97","Airn"
"98","RP24-221F4.2"
"99","Zfp53"
"100","Zfp948"
"101","Zfp760"
"102","Zfp758"
"103","Prss32"
"104","H2-Q4"
"105","RP23-345D6.8-1"
"106","RP23-345D6.11"
"107","Gm26561"
"108","Foxn2"
"109","Fndc1"
"110","Zfp871"
"111","March2"
"112","Btnl4"
"113","Btnl5-ps"
"114","RP23-349B4.7"
"115","RP24-180B11.5"
"116","AC102225.2"
"117","Cep192"
"118","n-R5-8s1"
"119","Zfp407"
"120","RP23-140G16.1"
"121","AC129188.1"
"122","Ahnak"
"123","D030056L22Rik"
"124","Kank1"
"125","Btaf1"
"126","AC132303.1"
"127","Dusp5"
"128","Ppnr Tcf7l2"
"129","Ndufs8 Tcirg1"
"130","RP23-41B18.5"
"131","Malat1"
"132","Neat1"
"133","AI846148"
"134","RP23-341M13.1"
"135","Ifit1bl1"
"136","Bbip1"
"137","Fam171a1"
"138","Rapgef1"
"139","Lrrc8a RP23-395P6.10"
"140","March7"
"141","Gm23731"
"142","RP23-189F6.3"
"143","RP23-297K24.1"
"144","RP23-22A15.2"
"145","Entpd6"
"146","Trp53rkb"
"147","Pfdn4"
"148","RP23-328P7.1 Lrp1b"
"149","Baz2b"
"150","Ctnnd1 RP23-387F9.7"
"151","Qser1"
"152","Duox2"
"153","RP23-199B10.2"
"154","Plagl2"
"155","RP23-220D12.12"
"156","RP24-114E18.8"
"157","Zmynd8"
"158","Zfp217"
"159","Gm17619"
"160","Taf4"
"161","Atp11b"
"162","RP23-243E17.1"
"163","Mgst2"
"164","RP23-346I1.1 Mgst2"
"165","Tsc22d2"
"166","Arhgef26"
"167","Mex3a"
"168","Sec24d"
"169","Gbp7"
"170","Erich3"
"171","Slc10a5 RP23-436F15.5"
"172","Maml3"
"173","RP23-347F4.1"
"174","RP23-37G19.2"
"175","Rap1gds1"
"176","Clca3b"
"177","Clca4b"
"178","Mdn1"
"179","RP23-230C2.2"
"180","RP23-40G2.3"
"181","Kti12 Txndc12"
"182","RP24-16C11.2"
"183","RP23-273D6.2"
"184","RP23-153M14.4"
"185","Gpatch3 Gpn2"
"186","Pnrc1"
"187","RP23-211P15.1"
"188","RP23-356F8.1"
"189","Zfyve9"
"190","Btbd19"
"191","RP23-284L6.7"
"192","Snhg3 Rcc1"
"193","Vps13d"
"194","RP23-192C21.1"
"195","Sept11"
"196","Btbd8 RP23-32E20.1"
"197","Rplp0 Gcn1l1"
"198","AC126938.1"
"199","Zfp655"
"200","Rsbn1l"
"201","RP23-110C17.2"
"202","Sh3tc1"
"203","Tada2b"
"204","AC167815.1"
"205","Fryl"
"206","RP23-318I19.2 Fryl"
"207","Zfp644"
"208","Fbrsl1"
"209","AC162528.2"
"210","Muc3"
"211","CAAA01224633.1"
"212","AC159257.5"
"213","RP23-56M2.7 Col1a2"
"214","Ppp1r9a"
"215","Nup205"
"216","RP23-338E5.2"
"217","Trbc2"
"218","Sval1"
"219","Herc3"
"220","RP23-281H4.10"
"221","RP23-281H4.3"
"222","Plekha5"
"223","RP23-343E20.2"
"224","RP23-392I2.3 Wasl"
"225","RP23-83N17.1"
"226","Hoxa3 Hoxa6"
"227","Kbtbd2"
"228","Igkv8-30"
"229","RP23-448G18.4"
"230","Grcc10 RP24-297C1.14"
"231","RP24-127M20.8"
"232","Dusp16"
"233","Nova2"
"234","RP23-457F4.2"
"235","Fcgbp"
"236","Nav2"
"237","Adamts17"
"238","Rsf1"
"239","RP23-386F15.3"
"240","AC165086.3"
"241","Srcap"
"242","RP23-32A8.1"
"243","RP23-285C18.2"
"244","AC124566.2"
"245","H19"
"246","Ppfia1"
"247","Fat1"
"248","Hmgxb4"
"249","RP23-359B23.5"
"250","Pdp2"
"251","AC124713.2"
"252","Urb2"
"253","RP24-345M16.1"
"254","RP23-363J16.2"
"255","Smpd3 Gm26786"
"256","Sept7"
"257","H2afx Dpagt1"
"258","Pkm Gramd2"
"259","Rpl4 Snapc5"
"260","Herc1"
"261","Myo5c"
"262","Uba7"
"263","Tmppe"
"264","RP23-437A9.3"
"265","RP24-89C4.5"
"266","Fam46a"
"267","Dnajc13"
"268","Rbm6"
"269","Nbeal2 Nradd"
"270","mt-Rnr1"
"271","mt-Rnr2"
"272","mt-Tl1"
"273","mt-Ti"
"274","mt-Tm"
"275","mt-Ts2"
"276","mt-Tl2"
"277","mt-Tq"
"278","mt-Ta"
"279","mt-Tc"
"280","Dusp9"
"281","Xist"
