Dgkd,E9PUQ8
March2,Q99M02
March6,Q6ZQ89
March7,Q9WV66
Sept2,P42208
Sept5,Q9Z2Q6
Sept7,O55131
Sept10,Q8C650
Sept11,Q8C1B7
A530084C06Rik,Q3UTW2
Acbd4,E9Q289
Adamts17,D3YX90
Ahnak,E9Q616
AI846148,
Airn,Q78TB4
Arhgef26,D3YYY8
Atad2b,E9Q166
Atp10b,B1AWN4
Atp11b,Q6ZQ17
Baz2b,Q8C0K4
Bbip1,J3QMK2
Brd1,E9PZ26
Btaf1,E9QAE3
Btbd19,S4R1I0
Btnl4,A2CG29
Btnl5-ps,
Cabin1,Q3TGB0
Ccdc71l,E9Q4T4
Cep192,E9Q4Y4
Chchd10,Q7TNL9
Col6a3,E9PWQ3
D030056L22Rik,Q3UMB2
Dnajc13,Q3UQJ7
Dot1l,Q6XZL8
Duox2,B7ZWM4
Dusp16,Q920R2
Dusp5,Q1HL35
Dusp9,Q7TNL7
Elmsan1,E9Q2I4
Entpd6,Q3U0P5
Fam171a1,A2ATK9
Fam46a,Q3V3I9
Fam84b,D3YXJ5
Fat1,Q9QXA3
Fbrsl1,E9Q9T0
Fcgbp,Q8C5Q6
Fignl2,J3QK54
Fndc1,E9Q043
Foxn2,E9Q7L6
Fryl,Q80XD5
Gas5,V9H0V2
Gbp7,Q78UK8
Gm17619,
Gm23731,
Gm25414,
Gm25538,
Gm26561,
Gprin2,A0A2I3BRN2
H19,Q61639
H2-Q4,Q8HWB2
Heca,Q3V1N5
Herc1,E9PZP8
Herc3,Q9CYM1
Hist1h2bc,Q6ZWY9
Hist1h2be,Q6ZWY9
Hist1h2bj,P10853
Hist1h4b,P62806
Hist1h4d,P62806
Hmgxb4,Q80Y32
Ifngr2,Q63953
Igha,A0A0A6YXW6
Ighv3-8,A0A075B5T0
Ighv5-4,A0A075B5P9
Igkv8-30,Q52L64
Kank1,Q6AXG6
Kbtbd2,Q8BSY6
Kidins220,E9Q9B7
Kif13b,E9Q4K7
Lmo7,E9PYF4
Macc1,Q8CE58
Malat1,B0LAE7
Maml3,D4QGC2
Mdn1,A2ANY6
Mettl7a1,Q9D7S5
Mex3a,G3UYU0
Mgst2,A2RST1
Mlh3,Q3TRU3
Mllt6,Q3UPK1
Mmp28,Q8CGV8
mt-Rnr1,
mt-Rnr2,
mt-Ta,
mt-Tc,
mt-Ti,
mt-Tl1,
mt-Tl2,
mt-Tm,
mt-Tq,
mt-Ts2,
Muc3,O35419
Myo5c,E9Q1F5
n-R5-8s1,
Nav2,Q8BJG0
Neat1,
Nova2,D3YVV7
Nup153,Q8BRF6
Nup205,B9EJ54
Pdp2,Q504M2
Pfdn4,E9Q6U4
Phf11b,B4XVQ1
Phf3,Q8BLA7
Phip,Q8VDD9
Pip5k1a,P70182
Pip5k1b,P70181
Plagl2,Q925T4
Plekha5,E9Q6H8
Pnrc1,Q3TWH3
Ppfia1,B8QI33
Ppp1r9a,Q7TSA7
Prss32,E9Q409
Prss8,Q9ESD1
Qser1,Q3UR75
Rap1gds1,E9Q912
Rapgef1,A1L338
Rbm6,S4R1W5
Rnu12,
RP23-32A8.1,
Rsbn1l,D3Z0K6
Rsf1,Q3UJ04
Sec24c,Q80U83
Sfn,O70456
Sh3tc1,Q3TXV8
Slc25a16,Q8C0K5
Slc40a1,Q9JHI9
Slfn4,Q3UV10
Sltm,Q8CH25
Smim22,J3QP37
Spop,Q6ZWS8
Spryd3,E9Q9B3
Srcap,A0A087WQ44
Sval1,Q9D2X6
Tada2b,D3Z4Z0
Taf4,E9QAP7
Tcf7l2,Q924A0
Tmppe,D3Z286
Trak2,Q6P9N8
Trbc2,A0A075B5J4
Trim2,Q9ESN6
Trip11,Q811I5
Tsc22d2,E9Q7M2
Tug1,Q8CI88
Urb2,E9Q7L1
Utrn,O08614
Vezf1,Q5SXC4
Vps13d,B1ART1
Xist,
Zbtb39,Q6PDK0
Zfc3h1,Q6A049
Zfp217,Q3U0X6
Zfp386,Q1WWJ5
Zfp407,Q8C020
Zfp429,Q7M6Y0
Zfp53,Q9Z117
Zfp597,E9Q6S0
Zfp644,Q80TH4
Zfp655,Q6P8W7
Zfp758,Q8CFF3
Zfp760,Q5U4A6
Zfp87,Q9JIB9
Zfp871,G5E905
Zfp948,Q6DFU8
Zfyve9,A8Y5G5
Zmynd8,Q80Y82
