"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-let-7a-5p",1428.88307390952,0.357902985697518,0.296448086931106,1.21708273711969,0.223572738071025,0.63962531686545
"mmu-let-7b-3p",7.58479956803696,-0.132919469915538,0.339649514967187,-0.41114970776456,0.680962763025869,0.891495733199339
"mmu-let-7b-5p",4546.05221226326,-0.0532714664166332,0.103090782952589,-0.516683138952937,0.605377368138942,0.861082493748824
"mmu-let-7c-5p",2850.24320185885,-0.0215168220896392,0.0888661546146533,-0.242250704371755,0.808585908420733,0.926549369861424
"mmu-let-7d-3p",270.343358186217,-0.292049670000874,0.202296678779973,-1.43980531843594,0.149922486084097,0.53420492485637
"mmu-let-7d-5p",430.484195974109,0.128331321460335,0.244809211817225,0.533747943259692,0.593515934181729,0.85466294522169
"mmu-let-7e-5p",104.797038097138,-0.257289914344848,0.397977261338379,-0.654553334562928,0.512755377535878,0.846004611583113
"mmu-let-7f-1-3p",2.33227942125876,-0.406601261536177,0.425596376087534,-0.936943467364621,0.348787638444266,0.741633278712478
"mmu-let-7f-2-3p",4.03527852829348,-0.0144002689122104,0.403843142887403,-0.00580887948686452,0.995365210807225,0.997674642850862
"mmu-let-7f-5p",1028.17986977382,-0.0714980595828429,0.316289793328391,-0.225866398739559,0.821305332437048,0.927445184369719
"mmu-let-7g-3p",7.820124739753,-0.318688747221167,0.320666963724148,-0.994594726959853,0.319933413148953,0.739992826852194
"mmu-let-7g-5p",369.504406197594,0.322128623009009,0.18883950473907,1.71547383297582,0.086258388894219,0.423450272753439
"mmu-let-7i-3p",13.1035019741502,0.124529981360251,0.294897517895395,0.439156746473708,0.660547963598445,0.88818843679906
"mmu-let-7i-5p",5566.43790929165,-0.0368428183778523,0.0734094943419638,-0.502127483465717,0.615577848732162,0.863407891728227
"mmu-let-7j",8.04467507470369,0.181211854821719,0.32504178726043,0.559646680890273,0.575720457525018,0.846004611583113
"mmu-let-7k",0.371589901776257,0.0603421450335428,0.302392522876723,0.201508028842311,0.840301352086684,NA
"mmu-miR-100-5p",21.586562929179,0.0771697059680799,0.352911640633536,0.259078078061008,0.795574998651672,0.918952939619044
"mmu-miR-101a-3p",1474.84429177077,0.135880442920128,0.0964807207974082,1.40829168059103,0.159044718107918,0.545296176370003
"mmu-miR-101a-5p",16.1692939318437,0.211062359156592,0.256545878912846,0.822208625882052,0.410958170289165,0.78928611219152
"mmu-miR-101b-3p",2750.2215957917,0.0174271307141111,0.0737039890963458,0.236453348744059,0.813080903252787,0.927445184369719
"mmu-miR-103-1-5p",14.7210264365838,-0.0944869259626311,0.298382086280113,-0.314405219320591,0.753213292554014,0.901352194967685
"mmu-miR-103-2-5p",71.182456403126,-0.0165798180675335,0.204468451857043,-0.0805202507979239,0.935823490719016,0.976468196248435
"mmu-miR-103-3p",1009.96636611746,0.333346752825917,0.163071235944369,2.04329949150784,0.0410227999128733,0.310909641444935
"mmu-miR-106a-5p",15.7370501726106,-0.0106108378131735,0.270949265286616,-0.0406549421318112,0.967570982843376,0.980684435405265
"mmu-miR-106b-3p",493.719927344302,-0.14368087871419,0.126159354348227,-1.13976993210941,0.254382163563175,0.670079845483484
"mmu-miR-106b-5p",1609.98578436498,-0.27680666485096,0.186235472836503,-1.50004837695066,0.133601871659711,0.510761137672524
"mmu-miR-107-3p",55.7085436154161,-0.0266608884646034,0.308170018492963,-0.107862839360917,0.914104494985379,0.967875347631578
"mmu-miR-10a-3p",14.4074009532153,0.754795732945508,0.429058336703725,1.86810369015998,0.0617476193014084,0.364005421345355
"mmu-miR-10a-5p",471.022002372631,0.932631542043346,0.410286344224817,2.35649439270609,0.0184483461675249,0.187895286612343
"mmu-miR-10b-3p",0.592802896557608,0.440234503210375,0.354421824595973,1.26841994584408,0.204648022419344,NA
"mmu-miR-10b-5p",52.2444825695006,0.718056964323977,0.427573763316817,1.86235833784864,0.0625525975063878,0.364005421345355
"mmu-miR-1191b-5p",1.67362485642476,-0.144468748973303,0.428361561868098,-0.334055179636642,0.738337920576592,0.899043640328935
"mmu-miR-1193-3p",0.386967024684942,-0.313308659955254,0.312451598846809,-0.929909884421148,0.352417744786311,NA
"mmu-miR-1193-5p",0.556191389672109,-0.60484376358643,0.354560528550742,-1.57752312006081,0.114675206546001,NA
"mmu-miR-1194",1.18373435711478,0.380472467539004,0.41430666205919,0.967780051508359,0.333154228564215,0.739992826852194
"mmu-miR-1198-3p",0.83815108567171,0.309113504973697,0.36344352562852,0.659778796006417,0.509395792413767,NA
"mmu-miR-1198-5p",910.972142379219,0.0522232439830162,0.15511699529533,0.336137054515943,0.736767516978469,0.899043640328935
"mmu-miR-1199-5p",0.679491811851154,0.123021425900683,0.390279848804243,0.350151984745567,0.726224639065576,NA
"mmu-miR-122-5p",0.427611687707913,-0.22988844812612,0.306617205039175,-0.717350160785252,0.473158063689985,NA
"mmu-miR-1224-5p",1.35760655930143,-0.276901250968447,0.421934062640481,-0.65212912362729,0.514317877704063,0.846004611583113
"mmu-miR-1231-5p",0.429216801742289,-0.157948069369673,0.34676334719502,-0.386416594391268,0.699188162191072,NA
"mmu-miR-1247-5p",39.4840425805581,0.506354400473572,0.352060060059118,1.43868804902411,0.150238926877391,0.53420492485637
"mmu-miR-1249-3p",3.26341213780189,0.49389973963319,0.419982148047921,1.21923318440779,0.222755700179717,0.63962531686545
"mmu-miR-125a-3p",14.0497552679447,-0.704732583510164,0.389508584952362,-1.71654835459015,0.0860617257110239,0.423450272753439
"mmu-miR-125a-5p",333.35092453302,-0.540308824906438,0.34934745556884,-1.57852797354386,0.114444366871742,0.451380216394472
"mmu-miR-125b-1-3p",1.28382716934997,0.264090628641271,0.402382187958667,0.69863098985116,0.484782671573349,0.829903168642858
"mmu-miR-125b-5p",380.454707458045,0.381441445877646,0.370999105366262,1.04349339660644,0.296719837557959,0.723129202522107
"mmu-miR-126a-3p",68.7610564757969,0.202172532586434,0.264445548944228,0.780120052270081,0.435320214506203,0.799128065600217
"mmu-miR-126a-5p",140.378595323256,0.087370523105408,0.265463035679444,0.359262630931997,0.719398626937755,0.899043640328935
"mmu-miR-127-3p",56.5953493692296,-0.648232489100565,0.33191814854985,-1.93835958270813,0.0525793678191797,0.360544236474375
"mmu-miR-128-1-5p",0.316513084663729,-0.0554971537176685,0.258448841443863,-0.214733137810504,0.829975384948107,NA
"mmu-miR-128-3p",43.9309143810989,0.270501604961166,0.171611606984706,1.57639509832893,0.114934777322666,0.451380216394472
"mmu-miR-129-1-3p",0.183222004817326,0.032162990557567,0.230491810763644,0.129131563047676,0.897253547385159,NA
"mmu-miR-1306-3p",10.076436643845,0.144273313374473,0.350132706415157,0.391719218138665,0.695265688572151,0.893102332095125
"mmu-miR-1306-5p",1.7960880821797,0.14917436419581,0.428784697853027,0.392854301044592,0.694427095877635,0.893102332095125
"mmu-miR-130a-3p",61.1249591533879,0.616982520183116,0.291742307709684,2.11560094273523,0.0343787616093126,0.270142972689432
"mmu-miR-130a-5p",0.582875685295057,-0.336353087991525,0.368740073742302,-0.892955320750144,0.371881099803986,NA
"mmu-miR-130b-3p",217.265133158483,0.0254127682893369,0.157780522555647,0.159113696970547,0.873579297075645,0.950595104122616
