"","HVA_1_miR","HVA_2_miR","HVA_3_miR","HVA_4_miR","HVA_5_miR","HVA_6_miR","HVAK_1_miR","HVAK_2_miR","HVAK_3_miR","HVAK_4_miR","HVAK_5_miR","HVAK_6_miR"
"mmu-let-7a-5p",1851.93044891505,1369.6692382286,1231.58645008275,1467.34019508942,230.673470371771,1271.27257887157,1655.69043705162,1462.15237382907,1864.5859555737,1754.69041008053,1430.4909898829,1556.51433893722
"mmu-let-7b-3p",8.90351177363003,10.8827294751421,9.51032007785904,3.93599837738578,6.85168723876547,5.89331659079537,6.87483918498945,9.54096165630714,17.7861935348843,3.62839208039811,4.98180941750263,2.22783540878418
"mmu-let-7b-5p",4883.57620783607,4751.08875371917,3776.78586091977,4505.93094243124,4832.72339907591,5039.62758750015,3954.17833789976,4386.45712148721,5269.15983470947,4570.32266446947,4160.52255067434,4422.25328643661
"mmu-let-7c-5p",2868.04373008057,3272.59222073915,2646.24656166428,2829.98283334038,2561.7697287162,3040.95136085041,2710.9782519475,2901.64496372441,3317.12509425592,2700.24938623228,2549.9747347017,2803.35955605343
"mmu-let-7d-3p",238.168939944603,258.076156124798,242.513161985406,188.14072243904,454.495253504776,424.318794537267,199.370336364694,231.368320165448,271.239451406986,253.261767211788,228.451546145478,254.715848404325
"mmu-let-7d-5p",563.147119682099,475.730745627639,505.235754136262,418.00302767837,115.717384476928,411.690258985562,435.406481715998,468.699741366088,536.550171635676,426.698908654818,404.949936937,403.980820792865
"mmu-let-7e-5p",141.343249406377,132.147429341011,43.9852303600981,136.972743533025,5.32909007459536,248.361199183519,160.41291431642,97.7948569771482,62.2516773720951,65.3110574471661,78.9972636203989,84.657745533799
"mmu-let-7f-1-3p",4.45175588681501,3.10935127861202,3.56637002919714,0.787199675477157,1.5225971641701,4.20951185056812,1.14580653083157,1.19262020703839,2.96436558914738,2.90271366431849,2.1350611789297,0
"mmu-let-7f-2-3p",6.67763383022252,7.77337819653005,3.56637002919714,4.72319805286294,0,2.52570711034087,5.72903265415787,3.57786062111518,4.44654838372108,1.45135683215925,4.98180941750263,2.97044721171225
"mmu-let-7f-5p",1667.18257961222,940.578761780136,1390.88431138689,861.983644647486,183.472958282497,1307.47438078646,988.831036107649,824.100563063529,1953.51692324813,797.520579271506,654.752094871774,767.860604227616
"mmu-let-7g-3p",7.79057280192627,9.32805383583606,7.13274005839428,11.8079951321573,6.09038865668041,10.1028284413635,5.72903265415787,9.54096165630714,8.89309676744215,5.07974891255736,6.4051835367891,5.94089442342449
"mmu-let-7g-5p",461.869673257058,422.871773891235,402.999813299277,342.431858832563,152.25971641701,213.001299638747,538.52906949084,452.003058467551,388.331892178307,341.794533973502,379.329202789843,338.630982135196
"mmu-let-7i-3p",6.67763383022252,7.77337819653005,8.32153006812666,12.5951948076345,16.7485688058711,22.7313639930679,18.3329044933052,13.1188222774223,8.89309676744215,15.9649251537517,14.9454282525079,11.1391770439209
"mmu-let-7i-5p",5638.14883065121,6596.4887375754,5360.2541538833,5465.5273468379,5149.42360922329,5572.55178778208,5633.93071209885,5944.01911187935,6317.06307047307,5061.60695215537,4931.9913233276,5126.24927561241
"mmu-let-7j",10.0164507453338,12.4374051144481,5.9439500486619,4.72319805286294,6.09038865668041,5.89331659079537,16.041291431642,8.34834144926875,7.41091397286846,8.70814099295547,4.98180941750263,5.94089442342449
"mmu-let-7k",0,0,0,0,1.5225971641701,0,0,0,1.48218279457369,0,0.711687059643233,0.742611802928062
"mmu-miR-100-5p",13.355267660445,13.9920807537541,9.51032007785904,38.5727840983807,8.37428440293557,44.6208256160221,22.9161306166315,16.6966828985375,17.7861935348843,13.0622114894332,17.0804894314376,43.0714845698276
"mmu-miR-101a-3p",1342.20439987473,1413.20015612916,1396.82826143555,1506.70017886328,1451.03509745411,1313.36769737725,1825.2698036147,1652.97160695521,1341.37542908919,1458.61361632004,1381.38458276752,1615.18067136853
"mmu-miR-101a-5p",18.9199625189638,17.1014320323661,8.32153006812666,11.0207954566802,20.5550617162964,13.470437921818,17.1870979624736,16.6966828985375,16.3040107403106,17.4162819859109,19.2155506103673,17.8226832702735
"mmu-miR-101b-3p",2496.32211353152,3026.9534697288,2761.55919260832,2673.33009792042,2723.92632670031,2721.87036257735,2657.12534499842,2799.07962591911,2853.20187955436,2781.52536883319,2499.44495346703,3008.32041366158
"mmu-miR-103-1-5p",12.2423286887413,10.8827294751421,11.8879000973238,13.3823944831117,31.2132418654871,11.7866331815907,8.02064571582102,14.3114424844607,13.3396451511632,15.2392467376721,12.8103670735782,21.5357422849138
"mmu-miR-103-2-5p",56.7598875568914,69.9604037687705,64.1946605255485,53.5295779324466,107.343100073992,78.296920420567,58.4361330724103,75.1350730434187,60.7694945775214,68.2137711114845,59.0700259503883,102.480428804073
"mmu-miR-103-3p",1062.85671797708,963.898896369726,832.153006812666,1038.31637195437,637.968211787273,781.285399465443,904.041352826112,1081.70652778382,913.024601457394,1250.34391090519,1249.72247673352,1404.27891933696
"mmu-miR-106a-5p",8.90351177363003,10.8827294751421,11.8879000973238,23.6159902643147,24.3615546267217,15.1542426620452,13.7496783699789,7.15572124223035,10.3752795620158,19.5933172341498,14.9454282525079,28.2192485112663
"mmu-miR-106b-3p",403.996846728462,492.832177660005,449.36262367884,544.742175430192,561.838353578768,656.683848688627,422.802609876851,435.306375569013,311.258386860475,587.799517024495,449.07453463488,608.94167840101
"mmu-miR-106b-5p",2005.51602701016,1733.4633378262,2301.49745884189,1067.44275994702,1660.3922075275,1631.6067932802,1977.6620722153,1427.56638782496,2592.33770770939,1102.30551402495,873.95170924189,946.08743693035
