RepName,length,RPKM (0h),t1/2 (h)
NM_138370,1901,1.01,1.98
NM_001039664,1665,1.32,1.98
NM_000894,523,2.19,1.98
NM_014079,2543,1.21,1.98
NM_001045476,1252,1.07,1.98
NM_024639,2716,1.2,1.98
NM_033411,1306,1.32,1.98
NM_002083,1024,1.22,1.98
NM_001007533,805,1.91,1.98
NM_148979,1504,1.28,1.98
NM_023940,1979,1.11,1.98
NM_005293,1528,3.72,2
NM_152485,1642,6.1,2
NM_006763,2718,5.43,2
NM_006300,4132,1.07,2
NM_203403,2718,1.94,2
NM_032521,4625,2.96,2.02
NM_021146,2255,1.1,2.02
NM_007147,3788,2.16,2.02
NM_182699,2142,1.12,2.02
NM_012342,1732,18.05,2.04
NM_001024675,2028,4.23,2.04
NM_152268,2364,8.9,2.04
NM_024310,2094,3.27,2.04
NM_213598,3658,4.74,2.04
NM_014383,1960,2.11,2.04
NM_025231,1290,4.86,2.04
NM_001008404,1847,1.25,2.04
NM_001004055,1486,1.23,2.04
NM_152465,1263,1.82,2.04
NM_017565,2267,1.91,2.04
NM_001335,1292,1.41,2.04
NM_020801,4146,10.14,2.06
NM_005199,2187,2.86,2.06
NM_014484,2458,9.34,2.06
NM_018444,4215,2.76,2.06
NM_138455,1236,4.21,2.06
NM_025195,3658,10.89,2.06
NM_018566,6265,5.42,2.06
NM_001559,4040,4.96,2.06
NM_006472,2704,116.25,2.06
NM_198480,4033,1.45,2.06
NM_020169,1144,1.18,2.06
NM_181727,2430,1.46,2.06
NM_001001712,564,2.73,2.06
NM_005384,2104,10.09,2.06
NM_006647,1650,1.1,2.06
NM_024014,863,1.66,2.06
NM_001014830,975,1.68,2.06
NM_018348,3970,4.93,2.06
NM_003885,3870,2.16,2.06
NM_148886,2570,3.71,2.06
NM_203371,3024,2.61,2.06
NM_003772,2930,2.69,2.06
NM_183375,1011,3.04,2.06
NM_020177,5813,6.8,2.08
NM_001002919,496,2.72,2.08
NM_016544,4869,1.02,2.08
NM_025203,3834,6.11,2.08
NM_012476,1164,1.15,2.08
NM_006242,3481,1.68,2.08
NM_000825,1512,1.65,2.08
NM_018364,6604,3.74,2.08
NM_052943,2385,2.95,2.08
NM_004433,5036,2.77,2.08
NM_024869,1512,1.71,2.08
NM_133444,3954,7.32,2.08
NM_152791,2075,2.41,2.08
NM_145071,2035,6.35,2.08
NM_138333,3646,3.78,2.08
NM_014830,6170,5.59,2.08
NM_017633,1702,47.69,2.08
NM_003532,462,8.35,2.08
NM_152457,1838,3.04,2.08
NM_024712,2548,2.27,2.08
NM_003955,2746,18.13,2.08
NM_024784,2948,6.25,2.08
NM_145805,1836,4.67,2.08
NM_001001703,2373,1.86,2.11
NM_004040,2384,52.87,2.11
NM_138395,3043,14.36,2.11
NM_001017396,3951,2.24,2.11
NM_001008490,1708,29.26,2.11
NM_024747,2674,24.72,2.11
NM_019058,1752,208.85,2.11
NM_198391,3977,2.64,2.11
NM_080489,1475,8.3,2.11
NM_080752,2789,1.86,2.11
NM_053001,1759,9.05,2.11
NM_016102,1851,4.53,2.11
NM_144728,2619,10.94,2.11
NM_002928,2447,24.8,2.11
NM_030634,4493,4.98,2.11
NM_138417,1712,23.33,2.11
NM_001441,2063,2.52,2.11
NM_152835,4299,1.97,2.11
NM_032838,2643,4.09,2.11
NM_013256,3101,4.51,2.11
NM_203344,1542,13.57,2.11
NM_145287,2001,2.07,2.11
NM_003489,7292,1.98,2.11
NM_014805,5567,3.36,2.11
NM_016474,2975,6.9,2.11
NM_001010907,409,10.36,2.11
NM_003408,2752,1.19,2.11
NM_138432,1414,1.63,2.11
NM_012177,2082,21.5,2.11
NM_152735,2730,14.98,2.11
NM_013262,3086,20.79,2.11
NM_001015072,974,3.26,2.11
NM_006980,2163,7.44,2.11
NM_012328,2371,2.11,2.11
NM_001014444,1303,1.69,2.11
NM_052838,1634,2.12,2.11
NM_152652,2203,6.04,2.11
NM_005353,3912,2.29,2.11
NM_005853,2064,2.94,2.11
NM_014519,2125,7.53,2.11
NM_207387,2353,7.91,2.11
NM_001661,1602,5.18,2.11
NM_009587,1835,1.83,2.11
NM_001029859,3396,5.22,2.11
NM_014743,7840,7.65,2.11
NM_145715,2072,1.62,2.11
NM_002202,2729,3.78,2.13
NM_002908,2592,5.39,2.13
NM_005798,7311,1.78,2.13
NM_005800,3829,7.25,2.13
NM_032859,5316,2.05,2.13
NM_145312,2070,4.28,2.13
NM_006526,5653,11.37,2.13
NM_015435,4366,5.23,2.13
NM_001037234,2165,1.87,2.13
NM_181702,2205,2.79,2.13
NM_175876,5099,7.66,2.13
NM_012482,3535,19.46,2.13
NM_016545,2369,12.38,2.13
NM_001008896,2831,1.26,2.13
NM_017638,1845,3.76,2.13
NM_017879,2523,5.27,2.13
NM_025040,4627,3.58,2.13
NM_206894,2445,3.86,2.13
NM_021030,2967,2.01,2.13
NM_001010851,2975,4.73,2.13
NM_013398,2466,5.86,2.13
NM_020880,3010,2.66,2.13
NM_198089,2673,4.29,2.13
NM_152603,2702,2.25,2.13
NM_153608,2206,4.5,2.13
NM_013362,2731,2.57,2.13
NM_178544,4566,1.09,2.13
NM_003244,2076,30.59,2.13
NM_015896,1780,4.6,2.13
NM_178342,1874,1.59,2.13
NM_002048,2828,16.24,2.13
NM_031219,1787,3.34,2.13
NM_032641,1227,6.52,2.13
NM_181708,1495,2.96,2.13
NM_001042555,6882,6.14,2.13
NM_019858,2516,3.95,2.13
NM_018169,6246,2.14,2.13
NM_019110,2307,3.88,2.13
NM_001039643,3931,9.69,2.13
NM_032936,883,7.42,2.13
NM_004496,3124,2.4,2.13
NM_016651,3775,5.03,2.13
NM_006194,1630,6.8,2.13
NM_003414,3205,7.91,2.13
NM_001005404,5242,3.18,2.13
NM_024631,2253,7.19,2.13
NM_032424,4095,4.66,2.13
NM_001004326,1783,1.08,2.13
NM_032246,3398,2.49,2.13
NM_024708,2630,6.96,2.13
NM_024511,5621,2.28,2.13
NM_005841,2612,5.57,2.13
NM_000171,1715,4.33,2.15
NM_004417,2015,60.59,2.15
NM_004418,1702,52.56,2.15
NM_144949,4510,9.92,2.15
NM_032138,3009,5.61,2.15
NM_031212,1889,18.69,2.15
NM_005674,2386,7.84,2.15
NM_080829,4292,1.03,2.15
NM_025054,8192,4.4,2.15
NM_006958,2632,7.51,2.15
NM_002467,2377,454.37,2.15
NM_015911,1591,13.4,2.15
NM_022774,2217,6.48,2.15
NM_174895,720,1.06,2.15
NM_207333,6145,1.38,2.15
NM_004831,3184,19.42,2.15
NM_004234,3082,2.09,2.15
NM_080662,1143,6.15,2.15
NM_014650,2593,2.08,2.15
NM_021216,3116,1.88,2.15
NM_002229,1832,57.63,2.15
NM_001037813,2223,6.77,2.15
NM_014872,4631,9.58,2.15
NM_006626,4132,2.26,2.15
NM_012210,3160,15.24,2.15
NM_003558,3313,4.42,2.15
NM_032786,2121,5.77,2.15
NM_004064,2422,28.05,2.15
NM_003192,1575,13.91,2.15
NM_005627,2386,115.04,2.15
NM_001010868,2110,1.18,2.15
NM_001010844,1157,3.08,2.15
NM_030963,2158,7.33,2.15
NM_001039754,3349,1.75,2.15
NM_017658,2034,7.59,2.15
NM_005252,2084,32.83,2.15
NM_052944,2384,1.01,2.15
NM_020786,3830,11.51,2.15
NM_001451,2579,43.56,2.15
NM_144657,2893,2,2.15
NM_016261,2472,6.39,2.15
NM_006456,1908,1.87,2.15
NM_052857,1646,8.03,2.15
NM_018019,2222,13.63,2.15
NM_144664,3868,3.24,2.15
NM_017704,1924,4.36,2.15
NM_207380,4707,3.11,2.15
NM_183376,4071,4.43,2.15
NM_020234,1233,10.72,2.15
NM_024028,2506,1.42,2.17
NM_016618,1774,3.8,2.17
NM_005168,2683,15.28,2.17
NM_001692,1956,1.47,2.17
NM_014562,2176,5.67,2.17
NM_006577,2788,9.65,2.17
NM_005398,2647,2.73,2.17
NM_024942,2336,2.14,2.17
NM_207371,6339,1.44,2.17
NM_183005,1450,12.17,2.17
NM_002655,7313,2.74,2.17
NM_024607,3807,2.91,2.17
NM_003724,3974,5.24,2.17
NM_032833,5264,33.48,2.17
NM_019099,2272,2.71,2.17
NM_033213,2005,4.37,2.17
NM_002379,2414,4.55,2.17
NM_152500,1914,1.15,2.17
NM_001993,2153,4.21,2.17
NM_152281,2186,9.4,2.17
NM_170725,2712,4.55,2.17
NM_032872,1898,1.67,2.17
NM_002923,1345,14.42,2.17
NM_025079,2697,29.41,2.17
NM_144686,2434,1.18,2.17
NM_144976,2553,3.05,2.17
NM_152353,990,2.23,2.17
NM_152289,3462,8.22,2.17
NM_001039654,1146,14.05,2.17
NM_198855,2469,2.92,2.17
NM_021910,1466,1.05,2.17
NM_001040185,4577,1.45,2.17
NM_173632,4934,3.71,2.17
NM_152303,2487,2.21,2.17
NM_024840,2308,1.58,2.17
NM_013361,2431,3.25,2.17
NM_004232,2650,6.37,2.17
NM_020307,2625,18.75,2.17
NM_033027,3204,18.16,2.17
NM_153268,2062,4.63,2.17
NM_001005474,3938,3.2,2.17
NM_203434,1281,26.89,2.17
NM_203453,3023,1.69,2.17
NM_017913,1724,11.97,2.17
NM_000889,2798,1.92,2.17
NM_002309,3868,10.85,2.17
NM_007149,3095,3.49,2.17
NM_004277,2959,1.07,2.17
NM_001004317,5504,2.22,2.17
NM_020931,2878,1.34,2.17
NM_003107,4912,25.42,2.17
NM_020781,5493,12.33,2.17
NM_212460,3162,3.29,2.17
NM_020529,1550,32.74,2.17
NM_001040662,1784,6.65,2.17
NM_003031,2393,11.57,2.17
NM_014699,6207,9.03,2.17
NM_003450,2264,8.78,2.17
NM_024297,2005,57.23,2.17
NM_020649,1542,22.65,2.17
NM_024039,2509,5.61,2.17
NM_021211,2652,9.13,2.17
NM_173811,1966,2.94,2.17
NM_000280,2816,4,2.17
NM_006831,2437,19.48,2.17
NM_152316,1770,8.77,2.17
NM_001003942,4700,2.93,2.17
NM_152260,1839,15.37,2.17
NM_001189,2165,7.39,2.17
NM_052864,3090,3.8,2.17
NM_032765,2244,3.78,2.2
NM_020666,2524,9.48,2.2
NM_004270,1066,4.24,2.2
NM_145702,2448,1.57,2.2
NM_014755,5544,8.25,2.2
NM_001008489,1138,1.69,2.2
NM_002398,3198,19.01,2.2
NM_024093,902,10.58,2.2
NM_152903,5228,6.16,2.2
NM_001109,3280,1.79,2.2
NM_005029,1407,5.62,2.2
NM_032772,2798,10.76,2.2
NM_003434,2682,5.21,2.2
NM_001032282,3085,14.95,2.2
NM_014789,6642,4.66,2.2
NM_147189,4368,1.72,2.2
NM_003395,1631,6.97,2.2
NM_024804,1905,2.83,2.2
NM_000740,2757,1.5,2.2
NM_199173,498,3.87,2.2
NM_007034,2250,7.24,2.2
NM_031459,3503,5.75,2.2
NM_013380,3658,1.81,2.2
NM_032689,4352,3.28,2.2
NM_173480,1948,4.5,2.2
NM_020657,4317,6.28,2.2
NM_181846,4648,4.98,2.2
NM_004907,2088,50.01,2.2
