"","X","Protein.Id","Description","p_values","q_values","foldChange","LFC"
"3482",3482,"Q8K0J2","B3GN7_MOUSE UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",0.02642784258144,0.0915412152048609,-1.44708229968917,-0.533146974376219
"3329",3329,"Q8BV13","CSN7B_MOUSE COP9 signalosome complex subunit 7b",0.00695453363458515,0.0395818438549659,-1.0927580355139,-0.127973986911893
"7363",7363,"Q8BGE6","ATG4B_MOUSE Cysteine protease ATG4B",0.0232742164415018,0.0841057225490915,-1.06743945719416,-0.0941542456933556
"5225",5225,"Q3UNW5","TF2L1_MOUSE Transcription factor CP2-like protein 1",0.00218428564234418,0.0200880651489743,-1.59454321603679,-0.673143198698406
"2091",2091,"O70570","PIGR_MOUSE Polymeric immunoglobulin receptor",0.00293579520821576,0.0240696485682274,-1.58492602893309,-0.664415509019759
"3602",3602,"Q920Q8","NS1BP_MOUSE Influenza virus NS1A-binding protein homolog",0.00317705187233969,0.0251248015218361,-1.15489139963299,-0.207757193998667
"3812",3812,"Q05921","RN5A_MOUSE 2-5A-dependent ribonuclease",0.0292279093590696,0.0977647887633773,-1.23462821325434,-0.304076664768581
"723",723,"P15105","GLNA_MOUSE Glutamine synthetase",0.00561795025798307,0.0346256949258971,-1.23475491302042,-0.304224709130282
"5383",5383,"Q62348","TSN_MOUSE Translin",0.0272328186946579,0.0933419685995707,-1.0641357000755,-0.0896821370635048
"3742",3742,"P14094","AT1B1_MOUSE Sodium/potassium-transporting ATPase subunit beta-1",0.0154483676911164,0.0647128673072333,-1.26710813193453,-0.341539645827683
"6462",6462,"P60605","UB2G2_MOUSE Ubiquitin-conjugating enzyme E2 G2",0.00375718667883011,0.0274821921056519,-1.44212162599288,-0.528192844063608
"3212",3212,"Q9JMH6","TRXR1_MOUSE Thioredoxin reductase 1, cytoplasmic",0.0195554690180915,0.074970264127906,-1.08763034409011,-0.121188307171922
"3541",3541,"P20826","SCF_MOUSE Kit ligand",0.0185432937336061,0.072412623668686,-1.26787117728119,-0.342408167134221
"4432",4432,"Q3UYC0","PPM1H_MOUSE Protein phosphatase 1H",0.010619268137558,0.0514007745156194,-1.1604886413875,-0.214732401963637
"2348",2348,"Q9CZU6","CISY_MOUSE Citrate synthase, mitochondrial",0.00725039893219785,0.0406919134339612,-1.16372104553898,-0.218745272637353
"316",316,"Q6PDG5","SMRC2_MOUSE SWI/SNF complex subunit SMARCC2",0.0120377503230158,0.0557606035053111,-1.05592358248672,-0.0785054301919508
"7744",7744,"Q3V1N5","Q3V1N5_MOUSE Protein Heca",0.00190109313270337,0.0187249666560494,-1.17707584090414,-0.235207278550808
"3795",3795,"Q4KML4","ABRAL_MOUSE Costars family protein ABRACL",0.0269097895618472,0.0926226356449619,-1.0636301662855,-0.088996600071789
"2578",2578,"Q9WVH4","FOXO3_MOUSE Forkhead box protein O3",0.0140968587905155,0.0613324411539235,-1.07766622523326,-0.107910415786526
"95",95,"P08113","ENPL_MOUSE Endoplasmin",0.0252942239464813,0.089123839044,-1.13643932884121,-0.184520664959671
"1432",1432,"O88879","APAF_MOUSE Apoptotic protease-activating factor 1",0.00852912700374202,0.0448368044480594,-1.0531350353451,-0.0746904338302854
"397",397,"O35643","AP1B1_MOUSE AP-1 complex subunit beta-1",0.0224140799486459,0.0822318441863139,-1.03804777504015,-0.0538728437221698
"635",635,"P52624","UPP1_MOUSE Uridine phosphorylase 1",0.000683689060424687,0.0114856258051441,-1.35551120030139,-0.438837033907842
"6756",6756,"Q8K4D3","S36A1_MOUSE Proton-coupled amino acid transporter 1",0.0269772533558484,0.092815812827919,-1.31962450618137,-0.400127474935801
"3675",3675,"Q5SW75","SSH2_MOUSE Protein phosphatase Slingshot homolog 2",0.0265765445590122,0.0919395677157712,-1.173537719059,-0.230864212738661
"4098",4098,"Q8CBA2","SLFN5_MOUSE Schlafen family member 5",0.0202850863626644,0.0769742382375557,-1.40939847057217,-0.495079553624699
"1610",1610,"Q8VCA8","SCRN2_MOUSE Secernin-2",0.0180312203258723,0.0710912997915534,-1.10704999177142,-0.146720372302159
"4887",4887,"P61963","DCAF7_MOUSE DDB1- and CUL4-associated factor 7",0.0134279232074725,0.0596134672581062,-1.17803209255766,-0.236378842345892
"1805",1805,"Q5SSZ5","TENS3_MOUSE Tensin-3",0.00320595936485521,0.0252072789638232,-1.24580019627546,-0.317072704833171
"1456",1456,"Q8VED9","LEGL_MOUSE Galectin-related protein",0.00105370105331895,0.0139591411013566,-1.24533268523168,-0.316531203512755
"3837",3837,"Q91ZJ5","UGPA_MOUSE UTP--glucose-1-phosphate uridylyltransferase",0.0262665571263715,0.0912528735481115,-1.23236517998781,-0.301429825262882
"4729",4729,"P14152","MDHC_MOUSE Malate dehydrogenase, cytoplasmic",0.000470423293029291,0.00987285808575576,-1.29711433476708,-0.375305652242997
"3611",3611,"Q99LB6","MAT2B_MOUSE Methionine adenosyltransferase 2 subunit beta",0.00835547441111806,0.0443224614744014,-1.11180147711842,-0.152899203937593
"2830",2830,"Q09199","B4GN2_MOUSE Beta-1,4 N-acetylgalactosaminyltransferase 2",0.0050842008691719,0.032409800711972,-1.48998295447326,-0.575295826232694
"7508",7508,"Q9D0R8","LSM12_MOUSE Protein LSM12 homolog",0.003506829435047,0.026523588320885,-1.11794991152708,-0.160855551320387
"3598",3598,"Q91X52","DCXR_MOUSE L-xylulose reductase",0.00382582665999547,0.0278102941492566,-1.32811183960628,-0.409376640398353
"399",399,"P19096","FAS_MOUSE Fatty acid synthase",0.014657408074542,0.0626497505922577,-1.089033162529,-0.123047886734049
"2246",2246,"Q922R8","PDIA6_MOUSE Protein disulfide-isomerase A6",0.000800370678609911,0.0124269520829011,-1.1451314723444,-0.195513243396993
