gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Pcmtd1,P59913,PCMD1_MOUSE,reviewed,Protein-L-isoaspartate O-methyltransferase domain-containing protein 1,Pcmtd1,Mus musculus (Mouse),357
Cspp1,B2RX88,CSPP1_MOUSE,reviewed,Centrosome and spindle pole associated protein 1,Cspp1 Cspp,Mus musculus (Mouse),1205
Sulf1,Q8K007,SULF1_MOUSE,reviewed,Extracellular sulfatase Sulf-1 (mSulf-1) (EC 3.1.6.-),Sulf1 Kiaa1077,Mus musculus (Mouse),870
Rdh10,Q8VCH7,RDH10_MOUSE,reviewed,Retinol dehydrogenase 10 (EC 1.1.1.300),Rdh10,Mus musculus (Mouse),341
Rab23,P35288,RAB23_MOUSE,reviewed,Ras-related protein Rab-23 (Protein open brain) (Rab-15),Rab23 Opb,Mus musculus (Mouse),237
Dst,Q91ZU6,DYST_MOUSE,reviewed,Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2),Dst Bpag1 Macf2,Mus musculus (Mouse),7393
Imp4,Q8VHZ7,IMP4_MOUSE,reviewed,U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4),Imp4 D1Wsu40e,Mus musculus (Mouse),291
Plekhb2,Q9QZC7,PKHB2_MOUSE,reviewed,Pleckstrin homology domain-containing family B member 2 (PH domain-containing family B member 2) (Evectin-2),Plekhb2 Evt2,Mus musculus (Mouse),221
Hs6st1,Q9QYK5,H6ST1_MOUSE,reviewed,Heparan-sulfate 6-O-sulfotransferase 1 (HS6ST-1) (mHS6ST-1) (EC 2.8.2.-),Hs6st1,Mus musculus (Mouse),411
Cnnm4,Q69ZF7,CNNM4_MOUSE,reviewed,Metal transporter CNNM4 (Ancient conserved domain-containing protein 4) (mACDP4) (Cyclin-M4),Cnnm4 Acdp4 Kiaa1592,Mus musculus (Mouse),771
Cox5b,P19536,COX5B_MOUSE,reviewed,"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)",Cox5b,Mus musculus (Mouse),128
Unc50,Q9CQ61,UNC50_MOUSE,reviewed,Protein unc-50 homolog (Periodontal ligament-specific protein 22) (PDLs22),Unc50,Mus musculus (Mouse),259
Eif5b,Q05D44,IF2P_MOUSE,reviewed,Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2),Eif5b If2,Mus musculus (Mouse),1216
Map4k4,P97820,M4K4_MOUSE,reviewed,Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase),Map4k4 Nik,Mus musculus (Mouse),1233
Nck2,O55033,NCK2_MOUSE,reviewed,Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta),Nck2 Grb4,Mus musculus (Mouse),380
