"","X","Protein.Id","Description","p_values","q_values","foldChange","LFC"
"2056",2056,"Q8VCH7","RDH10_MOUSE Retinol dehydrogenase 10",0.0013076920629394,0.0157403816693514,1.60049984538251,0.678522537510866
"2494",2494,"Q05D44","IF2P_MOUSE Eukaryotic translation initiation factor 5B",0.0172714671994126,0.0692975289348983,1.12818998900067,0.174010040350778
"2905",2905,"O55033","NCK2_MOUSE Cytoplasmic protein NCK2",0.00820974183851893,0.0437836427415738,1.09002092418161,0.124355829427246
"1001",1001,"Q64514","TPP2_MOUSE Tripeptidyl-peptidase 2",0.000150179834131425,0.00724760949954113,1.07633840709972,0.106131740986711
"6482",6482,"P08121","CO3A1_MOUSE Collagen alpha-1(III) chain",0.00160934188033157,0.0173094129967331,1.23796529779059,0.307970873997152
"1007",1007,"Q9CQC6","BZW1_MOUSE Basic leucine zipper and W2 domain-containing protein 1",0.0152878586697429,0.0644207251359034,1.15369215358562,0.206258312592744
"7079",7079,"Q01147","CREB1_MOUSE Cyclic AMP-responsive element-binding protein 1",0.0186925001179688,0.0729256975527046,1.15649866168605,0.209763596471277
"3226",3226,"Q9CVB6","ARPC2_MOUSE Actin-related protein 2/3 complex subunit 2",0.000717296647298554,0.0117421461162773,1.16501071767785,0.220343227213947
"61",61,"Q62468","VILI_MOUSE Villin-1",0.000681798289554456,0.0114825493827227,1.07514083363252,0.104525652070821
"2240",2240,"Q9CZW4","ACSL3_MOUSE Long-chain-fatty-acid--CoA ligase 3",0.000619995907300024,0.0109853004560637,1.2132479214492,0.278874388461894
"5192",5192,"Q06138","CAB39_MOUSE Calcium-binding protein 39",0.00861050695667534,0.0451306599994453,1.08736114989047,0.120831188406259
"3482",3482,"Q8K0J2","B3GN7_MOUSE UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",0.02642784258144,0.0915412152048609,-1.44708229968917,-0.533146974376219
"3329",3329,"Q8BV13","CSN7B_MOUSE COP9 signalosome complex subunit 7b",0.00695453363458515,0.0395818438549659,-1.0927580355139,-0.127973986911893
"5736",5736,"Q921I6","SH3B4_MOUSE SH3 domain-binding protein 4",0.000695800158077718,0.0115053016037699,1.28629936396261,0.363226444098837
"1275",1275,"Q3UZ39","LRRF1_MOUSE Leucine-rich repeat flightless-interacting protein 1",0.000977248311342993,0.0135552621096548,1.21873440983987,0.285383763895634
"7412",7412,"G5E872","G5E872_MOUSE Protein Rnpepl1",0.000404380946538872,0.00939837348557691,1.19135503899495,0.252603418799636
"3231",3231,"P42208","SEPT2_MOUSE Septin-2",0.0060096556225862,0.0360095397297716,1.13896420512957,0.18772240736778
"7363",7363,"Q8BGE6","ATG4B_MOUSE Cysteine protease ATG4B",0.0232742164415018,0.0841057225490915,-1.06743945719416,-0.0941542456933556
"5225",5225,"Q3UNW5","TF2L1_MOUSE Transcription factor CP2-like protein 1",0.00218428564234418,0.0200880651489743,-1.59454321603679,-0.673143198698406
"4652",4652,"Q8R4G6","MGT5A_MOUSE Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A",1.22444800007639e-06,0.00125276336007816,1.15719887202297,0.210636822117046
"6592",6592,"Q8VCH8","UBXN4_MOUSE UBX domain-containing protein 4",0.0217978106446497,0.0807627939200716,1.08118557232925,0.112614165350099
"2091",2091,"O70570","PIGR_MOUSE Polymeric immunoglobulin receptor",0.00293579520821576,0.0240696485682274,-1.58492602893309,-0.664415509019759
"4657",4657,"Q7TQG1","PKHA6_MOUSE Pleckstrin homology domain-containing family A member 6",0.000460617840687244,0.00984053418296951,1.17493870758723,0.232585498435931
"632",632,"P57016","LAD1_MOUSE Ladinin-1",4.40134307793017e-06,0.0020013885051588,1.35781239724745,0.441284162750996
"2841",2841,"Q9QXL1","KI21B_MOUSE Kinesin-like protein KIF21B",0.01431533828382,0.0616689704489826,1.05655591207823,0.079369115539408
"3602",3602,"Q920Q8","NS1BP_MOUSE Influenza virus NS1A-binding protein homolog",0.00317705187233969,0.0251248015218361,-1.15489139963299,-0.207757193998667
"3812",3812,"Q05921","RN5A_MOUSE 2-5A-dependent ribonuclease",0.0292279093590696,0.0977647887633773,-1.23462821325434,-0.304076664768581
"723",723,"P15105","GLNA_MOUSE Glutamine synthetase",0.00561795025798307,0.0346256949258971,-1.23475491302042,-0.304224709130282
"4511",4511,"O88792","JAM1_MOUSE Junctional adhesion molecule A",0.00310089962545694,0.0249076186794554,1.23667841690147,0.306470393880949
"3409",3409,"Q8R366","IGSF8_MOUSE Immunoglobulin superfamily member 8",0.0132523317626915,0.0593058149139583,1.32030212611379,0.400868100774128
"2071",2071,"Q91VJ1","AIM2_MOUSE Interferon-inducible protein AIM2",0.0120938213240156,0.0558986580089836,1.12507413605802,0.170020070063899
"277",277,"Q62130","PTN14_MOUSE Tyrosine-protein phosphatase non-receptor type 14",0.000374221704337802,0.00913875320450721,1.24550569486589,0.316731618074929
"509",509,"Q61087","LAMB3_MOUSE Laminin subunit beta-3",0.00185878256912219,0.0184637564663411,2.33646256845046,1.22432592453699
"3583",3583,"O70472","TM131_MOUSE Transmembrane protein 131",4.79728958513744e-05,0.00473204671918272,1.14330022325905,0.19320429570756
"7942",7942,"Q812G0","MGT4A_MOUSE Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",0.000124853229336175,0.00685854820212479,1.1777570241125,0.236041936227486
"3788",3788,"O70433","FHL2_MOUSE Four and a half LIM domains protein 2",0.000849695925766369,0.012761029637427,1.63737994733897,0.711389132159681
"4095",4095,"D3Z7P3","GLSK_MOUSE Glutaminase kidney isoform, mitochondrial",0.000565226158534628,0.0104926670418037,1.40356985191732,0.489100864710445
"1231",1231,"Q3UUQ7","PGAP1_MOUSE GPI inositol-deacylase",2.16849026252667e-06,0.0016520955095752,2.05061997327415,1.03606015224076
"1564",1564,"P68368","TBA4A_MOUSE Tubulin alpha-4A chain",0.0236578875049654,0.0849297408895357,1.10880943988835,0.149011445075263
"1614",1614,"G5E870","TRIPC_MOUSE E3 ubiquitin-protein ligase TRIP12",0.0167122373357212,0.0679051450989317,1.06206158368971,0.0868674233057354
"5383",5383,"Q62348","TSN_MOUSE Translin",0.0272328186946579,0.0933419685995707,-1.0641357000755,-0.0896821370635048
"1286",1286,"Q99JY9","ARP3_MOUSE Actin-related protein 3",0.000327179636053017,0.0087216775243346,1.122766393757,0.167057787376231
"3737",3737,"P70265","F262_MOUSE 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",0.0160206612473006,0.06632732033847,1.05949295633303,0.0833739964904612
"2369",2369,"Q6PDC8","MFSD4_MOUSE Major facilitator superfamily domain-containing protein 4",0.000642067666777084,0.011181540111852,2.06927882186628,1.04912805207175
"3968",3968,"Q921T2","TOIP1_MOUSE Torsin-1A-interacting protein 1",0.0262112023689946,0.0910992320128327,1.08244241032796,0.114290270638466
"3742",3742,"P14094","AT1B1_MOUSE Sodium/potassium-transporting ATPase subunit beta-1",0.0154483676911164,0.0647128673072333,-1.26710813193453,-0.341539645827683
"7892",7892,"Q8VD57","SFT2B_MOUSE Vesicle transport protein SFT2B",0.023074343033705,0.0837903716640972,1.12185913388012,0.165891535473336
"7710",7710,"Q3TEW6","MPZL1_MOUSE Myelin protein zero-like protein 1",0.0214667285708464,0.0798659878874444,1.27190591056365,0.346991950980856
"1004",1004,"P57716","NICA_MOUSE Nicastrin",0.0173117093638689,0.0693427731083889,1.08737066320232,0.120843810475551
"4926",4926,"Q62048","PEA15_MOUSE Astrocytic phosphoprotein PEA-15",0.0036422385026003,0.0270769501760068,1.5027504023055,0.587605406287495
"2274",2274,"O08529","CAN2_MOUSE Calpain-2 catalytic subunit",8.33894761266159e-06,0.00233575941651317,1.3890428580462,0.474091113456688
"603",603,"Q3V3R1","C1TM_MOUSE Monofunctional C1-tetrahydrofolate synthase, mitochondrial",0.00172823647254369,0.0176623915283252,1.21098864317707,0.27618533529735
"7814",7814,"P29268","CTGF_MOUSE Connective tissue growth factor",0.00156081287286172,0.0170741148410158,3.45561082251423,1.7889407475812
"442",442,"Q922K9","FRK_MOUSE Tyrosine-protein kinase FRK",0.00132867533231261,0.0158994263084484,1.103667604543,0.142305735989862
"7019",7019,"Q8BWD8","CDK19_MOUSE Cyclin-dependent kinase 19",0.00381138046350036,0.0278102941492566,1.19149529330652,0.252773252546438
"7713",7713,"Q80VG1","SCML4_MOUSE Sex comb on midleg-like protein 4",0.00291735086013449,0.0240696485682274,1.19812587692207,0.26077948781886
"832",832,"Q9ERU9","RBP2_MOUSE E3 SUMO-protein ligase RanBP2",0.00800001483703838,0.0431926922435087,1.07400064881231,0.102994864867109
"2014",2014,"Q9QYI4","DJB12_MOUSE DnaJ homolog subfamily B member 12",2.79669842240131e-05,0.00363348834719916,1.13394021807342,0.181344582641277
"6462",6462,"P60605","UB2G2_MOUSE Ubiquitin-conjugating enzyme E2 G2",0.00375718667883011,0.0274821921056519,-1.44212162599288,-0.528192844063608
"232",232,"Q9D279","MISP_MOUSE Mitotic interactor and substrate of PLK1",0.0107139742907213,0.0516149968037395,1.11487941360184,0.156887675341427
"342",342,"O54784","DAPK3_MOUSE Death-associated protein kinase 3",0.00256211146512259,0.0221914098857443,1.12257680316145,0.166814152983929
"3212",3212,"Q9JMH6","TRXR1_MOUSE Thioredoxin reductase 1, cytoplasmic",0.0195554690180915,0.074970264127906,-1.08763034409011,-0.121188307171922
"436",436,"Q8K0D0","CDK17_MOUSE Cyclin-dependent kinase 17",0.00484245122672123,0.0316628312065076,1.20448221281858,0.268413088746249
"3541",3541,"P20826","SCF_MOUSE Kit ligand",0.0185432937336061,0.072412623668686,-1.26787117728119,-0.342408167134221
"4432",4432,"Q3UYC0","PPM1H_MOUSE Protein phosphatase 1H",0.010619268137558,0.0514007745156194,-1.1604886413875,-0.214732401963637
"2348",2348,"Q9CZU6","CISY_MOUSE Citrate synthase, mitochondrial",0.00725039893219785,0.0406919134339612,-1.16372104553898,-0.218745272637353
"316",316,"Q6PDG5","SMRC2_MOUSE SWI/SNF complex subunit SMARCC2",0.0120377503230158,0.0557606035053111,-1.05592358248672,-0.0785054301919508
"7885",7885,"P41731","CD63_MOUSE CD63 antigen",0.00895512595688166,0.0462446094366412,1.22710987194684,0.295264429617187
"7744",7744,"Q3V1N5","Q3V1N5_MOUSE Protein Heca",0.00190109313270337,0.0187249666560494,-1.17707584090414,-0.235207278550808
"3795",3795,"Q4KML4","ABRAL_MOUSE Costars family protein ABRACL",0.0269097895618472,0.0926226356449619,-1.0636301662855,-0.088996600071789
"2578",2578,"Q9WVH4","FOXO3_MOUSE Forkhead box protein O3",0.0140968587905155,0.0613324411539235,-1.07766622523326,-0.107910415786526
"21",21,"Q8C650","SEP10_MOUSE Septin-10",0.00135451788253379,0.0159514271688922,1.21607253890646,0.282229288320412
"4165",4165,"Q3UMR5","MCU_MOUSE Calcium uniporter protein, mitochondrial",0.000118255131493551,0.00676275976048776,1.12306789555153,0.167445149122798
"3268",3268,"Q8K1S3","UNC5B_MOUSE Netrin receptor UNC5B",0.00512336996644984,0.0325833591106386,1.21070254240144,0.275844452715319
"6885",6885,"P70445","4EBP2_MOUSE Eukaryotic translation initiation factor 4E-binding protein 2",0.000253602677441548,0.00800761277888839,1.57929602460803,0.659281616547103
"5669",5669,"Q99KK1","REEP3_MOUSE Receptor expression-enhancing protein 3",0.0286240648190417,0.0963355142038883,1.15408909159065,0.206754599230177
"2017",2017,"P12382","K6PL_MOUSE 6-phosphofructokinase, liver type",0.0014241054906217,0.0163253549590176,1.08679520577671,0.120080106468053
"95",95,"P08113","ENPL_MOUSE Endoplasmin",0.0252942239464813,0.089123839044,-1.13643932884121,-0.184520664959671
"1432",1432,"O88879","APAF_MOUSE Apoptotic protease-activating factor 1",0.00852912700374202,0.0448368044480594,-1.0531350353451,-0.0746904338302854
"2256",2256,"O08663","MAP2_MOUSE Methionine aminopeptidase 2",0.0104937422578226,0.0509438199171282,1.1582364943481,0.211929859879826
"5124",5124,"Q99JI6","RAP1B_MOUSE Ras-related protein Rap-1b",0.00603333898609761,0.0360985961997142,1.05458751423265,0.0766788211730043
"1524",1524,"Q61526","ERBB3_MOUSE Receptor tyrosine-protein kinase erbB-3",0.0038537542821977,0.0279184780300083,1.25511467411697,0.327819182679548
"2796",2796,"O88673","DGKA_MOUSE Diacylglycerol kinase alpha",0.00537158613850921,0.0334934777518877,1.23611313639221,0.30581079327648
"5414",5414,"Q9EST3","4ET_MOUSE Eukaryotic translation initiation factor 4E transporter",0.00862240112285931,0.0451306599994453,1.05916360936783,0.0829254601444145
"4919",4919,"Q91WR3","ASCC2_MOUSE Activating signal cointegrator 1 complex subunit 2",0.0225630290755877,0.0825072815284906,1.06242095253921,0.0873555041942575
"397",397,"O35643","AP1B1_MOUSE AP-1 complex subunit beta-1",0.0224140799486459,0.0822318441863139,-1.03804777504015,-0.0538728437221698
"635",635,"P52624","UPP1_MOUSE Uridine phosphorylase 1",0.000683689060424687,0.0114856258051441,-1.35551120030139,-0.438837033907842
"707",707,"Q01279","EGFR_MOUSE Epidermal growth factor receptor",0.000105035756000127,0.00671654424110189,1.67533827334879,0.744452424531608
