gene_entry,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
A1cf,Q5YD48,A1CF_MOUSE,reviewed,APOBEC1 complementation factor (APOBEC1-stimulating protein),A1cf Acf Asp,Mus musculus (Mouse),595
Aacs,Q9D2R0,AACS_MOUSE,reviewed,Acetoacetyl-CoA synthetase (EC 6.2.1.16),Aacs,Mus musculus (Mouse),672
Aagab,Q8R2R3,AAGAB_MOUSE,reviewed,Alpha- and gamma-adaptin-binding protein p34,Aagab,Mus musculus (Mouse),316
Aak1,Q3UHJ0,AAK1_MOUSE,reviewed,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),Aak1 Kiaa1048,Mus musculus (Mouse),959
Aars,Q8BGQ7,SYAC_MOUSE,reviewed,"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein sticky) (Sti)",Aars,Mus musculus (Mouse),968
Abat,P61922,GABT_MOUSE,reviewed,"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)",Abat Gabat,Mus musculus (Mouse),500
Abca1,P41233,ABCA1_MOUSE,reviewed,Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1),Abca1 Abc1,Mus musculus (Mouse),2261
Abca3,Q8R420,ABCA3_MOUSE,reviewed,ATP-binding cassette sub-family A member 3,Abca3,Mus musculus (Mouse),1704
Abcb1a,P21447,MDR1A_MOUSE,reviewed,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1A) (MDR1A) (Multidrug resistance protein 1A) (EC 7.6.2.2) (Multidrug resistance protein 3) (P-glycoprotein 3) (Phospholipid transporter ABCB1) (EC 7.6.2.1),Abcb1a Abcb4 Mdr1a Mdr3 Pgy-3 Pgy3,Mus musculus (Mouse),1276
Abcb7,Q61102,ABCB7_MOUSE,reviewed,"ATP-binding cassette sub-family B member 7, mitochondrial (ATP-binding cassette transporter 7) (ABC transporter 7 protein)",Abcb7 Abc7,Mus musculus (Mouse),752
Abcc1,O35379,MRP1_MOUSE,reviewed,Multidrug resistance-associated protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (EC 7.6.2.3) (Leukotriene C(4) transporter) (LTC4 transporter),Abcc1 Abcc1a Abcc1b Mdrap Mrp,Mus musculus (Mouse),1528
