"","seqnames","start","end","width","strand","count","name","exon","intron","utr5","utr5.","utr3","utr3.","intergenic","mirna","annot","score","input.log2FC","input.padj","targeting_mirna_6mer","targeting_mirna_7mer","targeting_mirna_8mer"
"peak1519","chr1",86305346,86305398,53,"+",4146,"peak1519","B3gnt7",NA,"B3gnt7",NA,NA,NA,FALSE,NA,"utr5",2.43361046894642,2.56025641081485,0.00368459307093416,"",NA,NA
"peak1525","chr1",86305998,86306046,49,"+",5827,"peak1525","B3gnt7",NA,NA,NA,NA,NA,FALSE,NA,"exon",2.27906204700873,2.56900131553786,0.00525942120451866,"miR-29a-3p,miR-29b-3p,miR-29c-3p,miR-3065-3p,miR-3102-3p,miR-3547-3p,miR-770-5p",NA,NA
"peak1526","chr1",86306141,86306188,48,"+",7011,"peak1526","B3gnt7",NA,NA,NA,NA,NA,FALSE,NA,"exon",1.8134900159911,1.93383786461924,0.0153642011373378,"miR-29a-3p,miR-29b-3p,miR-29c-3p,miR-767,miR-770-5pmiR-103-3p,miR-107-3p,miR-12186-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-503-5p,miR-6342,miR-6353,miR-6419miR-1906,miR-214-3p,miR-322-5p,miR-497a-5p,miR-5626-3p,miR-6340,miR-6342,miR-6419,miR-6969-5p,miR-7024-3p,miR-761",NA,NA
"peak1527","chr1",86306270,86306324,55,"+",8038,"peak1527","B3gnt7",NA,NA,NA,"B3gnt7",NA,FALSE,NA,"utr3",3.99358691208949,2.7105202520278,0.000101487624669588,NA,NA,NA
"peak1532","chr1",86306966,86307020,55,"+",7115,"peak1532","B3gnt7",NA,NA,NA,"B3gnt7",NA,FALSE,NA,"utr3",4.34938896916094,3.97947728701055,4.47312496169565e-05,NA,NA,NA
"peak1533","chr1",86307053,86307090,38,"+",3841,"peak1533","B3gnt7",NA,NA,NA,"B3gnt7",NA,FALSE,NA,"utr3",3.08877221821631,2.68234202775109,0.000815131697854124,"let-7a-5p,let-7b-5p,let-7c-5p,let-7d-5p,let-7e-5p,let-7f-5p,let-7g-5p,let-7i-5p,let-7j,let-7k,miR-1961,miR-202-3p,miR-98-5plet-7d-5p,miR-1902,miR-202-3p,miR-329-5p,miR-377-5p","let-7d-5p,miR-202-3p",NA
"peak1548","chr1",86606020,86606083,64,"+",5531,"peak1548","Cops7b",NA,NA,NA,"Cops7b",NA,FALSE,NA,"utr3",1.54426509728848,1.87698379100073,0.0285584677646392,"miR-29a-3p,miR-29b-3p,miR-29c-3p,miR-767,miR-770-5pmiR-155-3p",NA,NA
"peak1948","chr1",93778286,93778339,54,"+",13116,"peak1948","Atg4b",NA,NA,NA,"Atg4b",NA,FALSE,NA,"utr3",6.04834619609562,4.7307232775314,8.9465131353641e-07,"",NA,NA
"peak2176","chr1",118666110,118666160,51,"+",3072,"peak2176","Tfcp2l1","Tfcp2l1",NA,NA,NA,NA,FALSE,NA,"exon",1.56715699519947,1.53202095263142,0.0270921208875326,"miR-29a-3p,miR-29b-3p,miR-29c-3p,miR-3065-3p,miR-3102-3p,miR-3547-3p,miR-770-5p",NA,NA
"peak2179","chr1",118677453,118677540,88,"+",19631,"peak2179","Tfcp2l1",NA,NA,NA,"Tfcp2l1",NA,FALSE,NA,"utr3",7.87215761701858,3.58419103414518,1.34227772444035e-08,"miR-103-3p,miR-107-3p,miR-12186-3p,miR-15a-5p,miR-15b-5p,miR-16-5p,miR-1907,miR-195a-5p,miR-195b,miR-322-5p,miR-497a-5p,miR-503-5p,miR-6342,miR-6353,miR-6419miR-27a-3p,miR-27b-3p,miR-350-3pmiR-1906,miR-214-3p,miR-322-5p,miR-497a-5p,miR-5626-3p,miR-6340,miR-6342,miR-6419,miR-6969-5p,miR-7024-3p,miR-761",NA,NA
