gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Prox1,P48437,PROX1_MOUSE,reviewed,Prospero homeobox protein 1 (Homeobox prospero-like protein PROX1) (PROX-1),Prox1,Mus musculus (Mouse),737
Slc12a2,P55012,S12A2_MOUSE,reviewed,Solute carrier family 12 member 2 (Basolateral Na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2),Slc12a2 Nkcc1,Mus musculus (Mouse),1205
Zfand5,O88878,ZFAN5_MOUSE,reviewed,AN1-type zinc finger protein 5 (Zinc finger A20 domain-containing protein 2) (Zinc finger protein 216),Zfand5 Za20d2 Zfp216 Znf216,Mus musculus (Mouse),213
Anp32e,P97822,AN32E_MOUSE,reviewed,Acidic leucine-rich nuclear phosphoprotein 32 family member E (Cerebellar postnatal development protein 1) (LANP-like protein) (LANP-L),Anp32e Cpd1,Mus musculus (Mouse),260
Slc44a5,Q5RJI2,CTL5_MOUSE,reviewed,Choline transporter-like protein 5 (Solute carrier family 44 member 5),Slc44a5 Ctl5,Mus musculus (Mouse),710
Lig1,P37913,DNLI1_MOUSE,reviewed,DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1),Lig1 Lig-1,Mus musculus (Mouse),916
Trim6,Q8BGE7,TRIM6_MOUSE,reviewed,Tripartite motif-containing protein 6 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM6),Trim6,Mus musculus (Mouse),488
Smarca4,Q3TKT4,SMCA4_MOUSE,reviewed,Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4),Smarca4 Baf190a Brg1 Snf2b Snf2l4,Mus musculus (Mouse),1613
Clpx,Q9JHS4,CLPX_MOUSE,reviewed,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",Clpx,Mus musculus (Mouse),634
mt-Co1,P00397,COX1_MOUSE,reviewed,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I),Mtco1 COI mt-Co1,Mus musculus (Mouse),514
mt-Cytb,P00158,CYB_MOUSE,reviewed,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),Mt-Cyb Cob Cytb mt-Cytb Mtcyb,Mus musculus (Mouse),381
Tcea1,P10711,TCEA1_MOUSE,reviewed,Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o),Tcea1 Tceat,Mus musculus (Mouse),301
Pcmtd1,P59913,PCMD1_MOUSE,reviewed,Protein-L-isoaspartate O-methyltransferase domain-containing protein 1,Pcmtd1,Mus musculus (Mouse),357
Sgk3,Q9ERE3,SGK3_MOUSE,reviewed,Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like),Sgk3 Cisk Sgkl,Mus musculus (Mouse),496
Cspp1,B2RX88,CSPP1_MOUSE,reviewed,Centrosome and spindle pole associated protein 1,Cspp1 Cspp,Mus musculus (Mouse),1205
Sulf1,Q8K007,SULF1_MOUSE,reviewed,Extracellular sulfatase Sulf-1 (mSulf-1) (EC 3.1.6.-),Sulf1 Kiaa1077,Mus musculus (Mouse),870
Rdh10,Q8VCH7,RDH10_MOUSE,reviewed,Retinol dehydrogenase 10 (EC 1.1.1.300),Rdh10,Mus musculus (Mouse),341
Rab23,P35288,RAB23_MOUSE,reviewed,Ras-related protein Rab-23 (Protein open brain) (Rab-15),Rab23 Opb,Mus musculus (Mouse),237
Dst,Q91ZU6,DYST_MOUSE,reviewed,Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2),Dst Bpag1 Macf2,Mus musculus (Mouse),7393
Imp4,Q8VHZ7,IMP4_MOUSE,reviewed,U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4),Imp4 D1Wsu40e,Mus musculus (Mouse),291
Plekhb2,Q9QZC7,PKHB2_MOUSE,reviewed,Pleckstrin homology domain-containing family B member 2 (PH domain-containing family B member 2) (Evectin-2),Plekhb2 Evt2,Mus musculus (Mouse),221
Hs6st1,Q9QYK5,H6ST1_MOUSE,reviewed,Heparan-sulfate 6-O-sulfotransferase 1 (HS6ST-1) (mHS6ST-1) (EC 2.8.2.-),Hs6st1,Mus musculus (Mouse),411
Cnnm4,Q69ZF7,CNNM4_MOUSE,reviewed,Metal transporter CNNM4 (Ancient conserved domain-containing protein 4) (mACDP4) (Cyclin-M4),Cnnm4 Acdp4 Kiaa1592,Mus musculus (Mouse),771
Cox5b,P19536,COX5B_MOUSE,reviewed,"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)",Cox5b,Mus musculus (Mouse),128
Unc50,Q9CQ61,UNC50_MOUSE,reviewed,Protein unc-50 homolog (Periodontal ligament-specific protein 22) (PDLs22),Unc50,Mus musculus (Mouse),259
Eif5b,Q05D44,IF2P_MOUSE,reviewed,Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2),Eif5b If2,Mus musculus (Mouse),1216
Map4k4,P97820,M4K4_MOUSE,reviewed,Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase),Map4k4 Nik,Mus musculus (Mouse),1233
Nck2,O55033,NCK2_MOUSE,reviewed,Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta),Nck2 Grb4,Mus musculus (Mouse),380
Tpp2,Q64514,TPP2_MOUSE,reviewed,Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II),Tpp2,Mus musculus (Mouse),1262
Col3a1,P08121,CO3A1_MOUSE,reviewed,Collagen alpha-1(III) chain,Col3a1,Mus musculus (Mouse),1464
Spats2l,Q91WJ7,SPS2L_MOUSE,reviewed,SPATS2-like protein,Spats2l,Mus musculus (Mouse),558
Bzw1,Q9CQC6,BZW1_MOUSE,reviewed,Basic leucine zipper and W2 domain-containing protein 1,Bzw1,Mus musculus (Mouse),419
Nif3l1,Q9EQ80,NIF3L_MOUSE,reviewed,NIF3-like protein 1,Nif3l1,Mus musculus (Mouse),376
Cflar,O35732,CFLAR_MOUSE,reviewed,CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin) [Cleaved into: CASP8 and FADD-like apoptosis regulator subunit p43; CASP8 and FADD-like apoptosis regulator subunit p12],Cflar Cash,Mus musculus (Mouse),481
Casp8,O89110,CASP8_MOUSE,reviewed,Caspase-8 (CASP-8) (EC 3.4.22.61) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10],Casp8,Mus musculus (Mouse),480
Stradb,Q8K4T3,STRAB_MOUSE,reviewed,STE20-related kinase adapter protein beta (STRAD beta) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein homolog) (ILP-interacting protein homolog) (Polyploidy-associated protein kinase) (Pseudokinase ALS2CR2),Stradb Als2cr2 Papk Syradb,Mus musculus (Mouse),418
Nop58,Q6DFW4,NOP58_MOUSE,reviewed,Nucleolar protein 58 (MSSP) (Nucleolar protein 5) (SIK-similar protein),Nop58 Nol5,Mus musculus (Mouse),536
Fam117b,Q3U3E2,F117B_MOUSE,reviewed,Protein FAM117B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 13 protein homolog),Fam117b Als2cr13,Mus musculus (Mouse),584
Pard3b,Q9CSB4,PAR3L_MOUSE,reviewed,Partitioning defective 3 homolog B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 19 protein homolog) (PAR3-beta) (Partitioning defective 3-like protein) (PAR3-L protein),Pard3b Als2cr19 Par3l,Mus musculus (Mouse),1203
Nrp2,O35375,NRP2_MOUSE,reviewed,Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2),Nrp2,Mus musculus (Mouse),931
Eef1b2,O70251,EF1B_MOUSE,reviewed,Elongation factor 1-beta (EF-1-beta),Eef1b Eef1b2,Mus musculus (Mouse),225
Fastkd2,Q922E6,FAKD2_MOUSE,reviewed,"FAST kinase domain-containing protein 2, mitochondrial",Fastkd2,Mus musculus (Mouse),689
Creb1,Q01147,CREB1_MOUSE,reviewed,Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1),Creb1 Creb-1,Mus musculus (Mouse),327
Pikfyve,Q9Z1T6,FYV1_MOUSE,reviewed,1-phosphatidylinositol 3-phosphate 5-kinase (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase) (Serine-protein kinase PIKFYVE) (EC 2.7.11.1) (p235),Pikfyve Fab1 Kiaa0981 Pip5k3,Mus musculus (Mouse),2097
Arpc2,Q9CVB6,ARPC2_MOUSE,reviewed,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),Arpc2,Mus musculus (Mouse),300
Ctdsp1,P58466,CTDS1_MOUSE,reviewed,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 (EC 3.1.3.16) (Golli-interacting protein) (GIP) (Nuclear LIM interactor-interacting factor 3) (NLI-interacting factor 3) (Small C-terminal domain phosphatase 1) (SCP1) (Small CTD phosphatase 1),Ctdsp1 Nif3 Nliif,Mus musculus (Mouse),261
Vil1,Q62468,VILI_MOUSE,reviewed,Villin-1,Vil1 Vil,Mus musculus (Mouse),827
Ttll4,Q80UG8,TTLL4_MOUSE,reviewed,Tubulin polyglutamylase TTLL4 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 4),Ttll4 Kiaa0173,Mus musculus (Mouse),1193
Fam134a,Q6NS82,RETR2_MOUSE,reviewed,Reticulophagy regulator 2,Retreg2 Fam134a,Mus musculus (Mouse),541
Sgpp2,Q810K3,SGPP2_MOUSE,reviewed,Sphingosine-1-phosphate phosphatase 2 (SPPase2) (Spp2) (EC 3.1.3.-) (Sphingosine-1-phosphatase 2),Sgpp2,Mus musculus (Mouse),354
Utp14b,Q6EJB6,UT14B_MOUSE,reviewed,U3 small nucleolar RNA-associated protein 14 homolog B (Juvenile spermatogonial depletion protein),Utp14b Jsd,Mus musculus (Mouse),756
Acsl3,Q9CZW4,ACSL3_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3),Acsl3 Acs3 Facl3,Mus musculus (Mouse),720
Mrpl44,Q9CY73,RM44_MOUSE,reviewed,"39S ribosomal protein L44, mitochondrial (L44mt) (MRP-L44) (EC 3.1.26.-)",Mrpl44,Mus musculus (Mouse),333
Agfg1,Q8K2K6,AGFG1_MOUSE,reviewed,Arf-GAP domain and FG repeat-containing protein 1 (HIV-1 Rev-binding protein homolog) (Nucleoporin-like protein RIP),Agfg1 Hrb Rip,Mus musculus (Mouse),561
Cab39,Q06138,CAB39_MOUSE,reviewed,Calcium-binding protein 39 (MO25alpha) (Protein Mo25),Cab39 Mo25,Mus musculus (Mouse),341
B3gnt7,Q8K0J2,B3GN7_MOUSE,reviewed,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 (BGnT-7) (Beta-1,3-Gn-T7) (Beta-1,3-N-acetylglucosaminyltransferase 7) (Beta3Gn-T7) (EC 2.4.1.-)",B3gnt7,Mus musculus (Mouse),397
Ptma,P26350,PTMA_MOUSE,reviewed,"Prothymosin alpha [Cleaved into: Prothymosin alpha, N-terminally processed; Thymosin alpha]",Ptma,Mus musculus (Mouse),111
Cops7b,Q8BV13,CSN7B_MOUSE,reviewed,COP9 signalosome complex subunit 7b (SGN7b) (Signalosome subunit 7b) (JAB1-containing signalosome subunit 7b),Cops7b Csn7b,Mus musculus (Mouse),264
Eif4e2,Q8BMB3,IF4E2_MOUSE,reviewed,Eukaryotic translation initiation factor 4E type 2 (eIF-4E type 2) (eIF4E type 2) (eIF4E-2) (mRNA cap-binding protein type 2) (Eukaryotic translation initiation factor 4E-like 3) (eIF4E-like protein 4E-LP),Eif4e2 Eif4el3,Mus musculus (Mouse),245
Atg16l1,Q8C0J2,A16L1_MOUSE,reviewed,Autophagy-related protein 16-1 (APG16-like 1),Atg16l1 Apg16l,Mus musculus (Mouse),607
Dgkd,E9PUQ8,DGKD_MOUSE,reviewed,Diacylglycerol kinase delta (DAG kinase delta) (EC 2.7.1.107),Dgkd,Mus musculus (Mouse),1220
Sh3bp4,Q921I6,SH3B4_MOUSE,reviewed,SH3 domain-binding protein 4,Sh3bp4,Mus musculus (Mouse),962
Agap1,Q8BXK8,AGAP1_MOUSE,reviewed,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (AGAP-1) (Centaurin-gamma-2) (Cnt-g2)",Agap1 Centg2 Kiaa1099,Mus musculus (Mouse),857
Lrrfip1,Q3UZ39,LRRF1_MOUSE,reviewed,Leucine-rich repeat flightless-interacting protein 1 (LRR FLII-interacting protein 1) (FLI-LRR-associated protein 1) (Flap-1) (H186 FLAP),Lrrfip1 Flap,Mus musculus (Mouse),729
Rnpepl1,G5E872,RNPL1_MOUSE,reviewed,Aminopeptidase RNPEPL1 (EC 3.4.11.-) (Methionyl aminopeptidase) (EC 3.4.11.18),Rnpepl1,Mus musculus (Mouse),720
Capn10,Q9ESK3,CAN10_MOUSE,reviewed,Calpain-10 (EC 3.4.22.-) (Calcium-activated neutral proteinase 10) (CANP 10),Capn10 Capn8,Mus musculus (Mouse),666
