seqnames,start,end,width,strand,count,name,exon,intron,utr5,utr5.,utr3,utr3.,intergenic,mirna,annot,target_gene,hvak.hva.padj,hvak.hva.log2FC,seed.8mer,seed.7m8,seed.7A1,seed.6mer,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID
chr1,45909680,45909726,47,-,10963,peak288,Slc40a1,Slc40a1,NA,NA,NA,NA,FALSE,NA,exon,Slc40a1,NA,1.7797379473474733,NA,NA,miR-103-3p/107-3p,NA,ENSMUSG00000025993,Q9JHI9,53945
chr1,190170295,190170366,72,-,3291,peak540,Prox1,NA,Prox1,Prox1,NA,NA,FALSE,NA,utr5,Prox1,6.71910096787688e-4,-3.7724798605227448,NA,NA,NA,NA,ENSMUSG00000010175,P48437,19130
chr12,99645520,99645546,27,+,16440,peak1682,NA,RP24-342G5.6,NA,NA,NA,NA,FALSE,NA,intron,RP24-342G5.6,NA,-0.5785084894629156,NA,NA,NA,NA,NA,"NA","NA"
chr18,57897379,57897425,47,+,5558,peak3462,Slc12a2,Slc12a2,NA,NA,NA,NA,FALSE,NA,exon,Slc12a2,0.8224211788171525,-0.19889227183918815,NA,NA,NA,miR-425-5p/489-3p,ENSMUSG00000024597,P55012,20496
chr19,21276553,21276597,45,+,3060,peak3700,Zfand5,Zfand5,NA,NA,NA,NA,FALSE,NA,exon,Zfand5,0.3877245189985448,-0.6643491027292345,NA,NA,NA,miR-24-3p,ENSMUSG00000024750,O88878,22682
chr19,5798668,5798695,28,-,9324,peak3828,Malat1,NA,NA,NA,NA,NA,FALSE,NA,exon,Malat1,0.4872598847764012,-0.548944407451297,NA,NA,NA,NA,ENSMUSG00000092341,B0LAE7,72289
chr3,95944318,95944368,51,+,1636,peak4622,Anp32e,Anp32e,NA,NA,Anp32e,Anp32e,FALSE,NA,utr3,Anp32e,0.4993495794688995,-0.712643103678171,NA,miR-205-5p,NA,NA,ENSMUSG00000015749,P97822,66471
chr3,154243559,154243614,56,+,5194,peak4727,Slc44a5,Slc44a5,NA,NA,NA,NA,FALSE,NA,exon,Slc44a5,0.027665479009364086,-3.6862190265580876,NA,let-7-5p/miR-98-5p,NA,"miR-196-5p, miR-15-5p/16-5p/195-5p/322-5p/497-5p",ENSMUSG00000028360,Q5RJI2,242259
chr7,13305904,13305951,48,+,15138,peak6271,Lig1,Lig1,NA,NA,NA,NA,FALSE,NA,exon,Lig1,0.18218614049106,1.0298600859597338,NA,miR-22-3p,NA,miR-15-5p/16-5p/195-5p/322-5p/497-5p,ENSMUSG00000056394,P37913 Q91VX2,16881
chr7,104233603,104233623,21,+,4719,peak6429,Trim6,NA,NA,NA,Trim6,Trim6,FALSE,NA,utr3,Trim6,0.937620952105277,-0.1102432631538209,let-7-5p/miR-98-5p,NA,NA,miR-196-5p,ENSMUSG00000072244,Q8BGE7,94088
