"","seqnames","start","end","width","strand","count","name","exon","intron","utr5","utr5.","utr3","utr3.","intergenic","mirna","annot","score","input.log2FC","input.padj","targeting_mirna_6mer","targeting_mirna_7mer","targeting_mirna_8mer"
"peak11206","chr11",112786302,112786372,71,"+",3331,"peak11206","Sox9",NA,NA,NA,"Sox9",NA,FALSE,NA,"utr3",2.38698615243859,4.56892094806673,0.00410217182630265,"miR-3473c,miR-6896-3p,miR-6975-3p,miR-7649-3pmiR-1896,miR-6973b-3p,miR-7063-3pmiR-12202-3p,miR-6896-3p,miR-7028-3pmiR-205-5p,miR-6948-3p,miR-7117-3p,miR-712-5pmiR-1894-5p,miR-3473c,miR-6975-3p,miR-7649-3pmiR-130b-5p,miR-7014-3p,miR-7211-5pmiR-12196-5p,miR-6984-3pmiR-150-5p,miR-1894-5p,miR-343,miR-5127,miR-6976-3p,miR-7045-3pmiR-343,miR-6976-3pmiR-7657-3p,miR-7673-3p,miR-7678-3pmiR-6896-3pmiR-6935-3p,miR-7092-3pmiR-6909-3p,miR-7077-3p,miR-7685-5p,miR-7686-5pmiR-6946-3p,miR-6964-3pmiR-130a-5p,miR-7009-3pmiR-129-5p,miR-129b-5p,miR-6951-3p,miR-7078-3pmiR-12196-5pmiR-335-3p,miR-6951-3p,miR-7116-3p","miR-6896-3pmiR-3473c,miR-6975-3p,miR-7649-3pmiR-1894-5pmiR-343,miR-6976-3pmiR-6896-3p","miR-6896-3p"
"peak24599","chr15",83154043,83154113,71,"-",2459,"peak24599","Cyb5r3",NA,NA,NA,"Cyb5r3",NA,FALSE,NA,"utr3",2.12113669918599,4.37051054279481,0.00756594710645318,"miR-3473c,miR-6896-3p,miR-6975-3p,miR-7649-3pmiR-1896,miR-6973b-3p,miR-7063-3pmiR-6919-3pmiR-12202-3p,miR-6946-3pmiR-6961-3p,miR-6963-3p,miR-7014-3pmiR-3059-5p,miR-5616-5p,miR-6961-3p,miR-7032-3p,miR-7650-5p,miR-877-3pmiR-3059-5p,miR-5616-5p,miR-670-3p,miR-6902-5pmiR-12202-3p,miR-6896-3p,miR-7028-3pmiR-1894-5p,miR-3473c,miR-6975-3p,miR-7649-3pmiR-141-5p,miR-6769b-3p,miR-7048-3pmiR-7032-3pmiR-692,miR-7221-5p,miR-7664-3pmiR-12202-3p,miR-207,miR-320-5p,miR-7028-3pmiR-150-5p,miR-1894-5p,miR-343,miR-5127,miR-6976-3p,miR-7045-3pmiR-343,miR-6976-3pmiR-7031-3pmiR-6975-3p,miR-7037-3p,miR-8103","miR-6961-3pmiR-6896-3pmiR-3473c,miR-6975-3p,miR-7649-3pmiR-1894-5pmiR-343,miR-6976-3pmiR-3059-5p,miR-5616-5pmiR-12202-3pmiR-12202-3p,miR-7028-3pmiR-7032-3p","miR-12202-3p"
"peak24600","chr15",83154156,83154219,64,"-",6098,"peak24600","Cyb5r3",NA,NA,NA,"Cyb5r3",NA,FALSE,NA,"utr3",3.0300754458565,6.40316238064726,0.000933092189470464,"miR-3473c,miR-6896-3p,miR-6975-3p,miR-7649-3pmiR-1896,miR-6973b-3p,miR-7063-3pmiR-6919-3pmiR-3059-5p,miR-5616-5p,miR-6961-3p,miR-7032-3p,miR-7650-5p,miR-877-3pmiR-1894-5p,miR-3473c,miR-6975-3p,miR-7649-3pmiR-7032-3pmiR-6975-3p,miR-7037-3p,miR-8103","miR-3473c,miR-6975-3p,miR-7649-3pmiR-7032-3p",""
"peak28790","chr17",36857605,36857660,56,"+",3621,"peak28790","Trim26","Trim26",NA,NA,NA,NA,FALSE,NA,"exon",2.10884545323096,3.82312135549526,0.0077831347012899,"miR-6919-3pmiR-6919-3pmiR-103-1-5p,miR-103-2-5p,miR-107-5p,miR-12183-5p,miR-1903miR-12202-3p,miR-6946-3pmiR-12183-5p,miR-1903,miR-22-5p,miR-6946-3pmiR-6961-3p,miR-6963-3p,miR-7014-3pmiR-3059-5p,miR-5616-5p,miR-6961-3p,miR-7032-3p,miR-7650-5p,miR-877-3pmiR-3059-5p,miR-5616-5p,miR-670-3p,miR-6902-5pmiR-141-5p,miR-6769b-3p,miR-7048-3pmiR-1903,miR-320-5p,miR-6901-3p,miR-7028-3pmiR-7031-3p","miR-6919-3pmiR-12183-5p,miR-1903miR-6961-3pmiR-6946-3pmiR-3059-5p,miR-5616-5pmiR-1903",""
"peak33551","chr19",21276553,21276597,45,"+",3060,"peak33551","Zfand5","Zfand5",NA,NA,NA,NA,FALSE,NA,"exon",2.9945872023707,2.05553681550755,0.0010125414193204,NA,NA,NA
"peak39172","chr2",60750557,60750642,86,"-",3498,"peak39172","Rbms1",NA,NA,NA,"Rbms1","Rbms1",FALSE,NA,"utr3",3.29066945953295,3.81356125628438,0.000512071423571217,"miR-12196-5p,miR-6984-3pmiR-150-5p,miR-1894-5p,miR-343,miR-5127,miR-6976-3p,miR-7045-3p",NA,NA
"peak45682","chr4",124705911,124705969,59,"+",4732,"peak45682","Fhl3",NA,NA,NA,NA,NA,FALSE,NA,"exon",1.87047387028557,3.97046265662683,0.0134749179594996,"miR-31-5p",NA,NA
"peak46902","chr4",19521106,19521165,60,"-",3617,"peak46902","Cpne3",NA,NA,NA,"Cpne3",NA,FALSE,NA,"utr3",3.54925670661761,7.56189360328412,0.000282321071330322,"miR-3473c,miR-6896-3p,miR-6975-3p,miR-7649-3pmiR-1896,miR-6973b-3p,miR-7063-3p","",""
"peak49291","chr5",32135934,32135992,59,"+",2345,"peak49291","Fosl2",NA,"Fosl2",NA,NA,NA,FALSE,NA,"utr5",2.10630515724257,2.9380366934176,0.00782879358873367,"miR-3473c,miR-6896-3p,miR-6975-3p,miR-7649-3pmiR-1896,miR-6973b-3p,miR-7063-3pmiR-6961-3p,miR-6963-3p,miR-7014-3pmiR-1894-5p,miR-3473c,miR-6975-3p,miR-7649-3pmiR-130b-5p,miR-7014-3p,miR-7211-5pmiR-7032-3pmiR-12196-5p,miR-6984-3pmiR-12202-3p,miR-207,miR-320-5p,miR-7028-3pmiR-130a-5p,miR-130b-5p,miR-692,miR-6961-3p,miR-7014-3p,miR-7215-5pmiR-150-5p,miR-1894-5p,miR-343,miR-5127,miR-6976-3p,miR-7045-3pmiR-7031-3pmiR-6946-3p,miR-6964-3pmiR-1945","miR-3473c,miR-6975-3p,miR-7649-3pmiR-1894-5pmiR-130b-5p,miR-7014-3pmiR-6961-3p,miR-7014-3p",""
"peak56754","chr6",148797457,148797510,54,"-",2953,"peak56754",NA,"Ipo8",NA,NA,NA,NA,FALSE,NA,"intron",2.52698095614156,7.71020025630423,0.00297179634246128,"miR-3473c,miR-6896-3p,miR-6975-3p,miR-7649-3pmiR-1896,miR-6973b-3p,miR-7063-3pmiR-12202-3p,miR-6896-3p,miR-7028-3pmiR-1894-5p,miR-3473c,miR-6975-3p,miR-7649-3pmiR-7032-3pmiR-150-5p,miR-1894-5p,miR-343,miR-5127,miR-6976-3p,miR-7045-3pmiR-7031-3p","miR-6896-3pmiR-3473c,miR-6975-3p,miR-7649-3pmiR-1894-5p",""
